,Code,age,sex,settlement,population.total,population.ed,population.not.ed,year,addressCod,addressCode
84,IR.MK,8,پسر,روستا,2516,2319,197,1390,0,00
85,IR.MN,8,پسر,روستا,9156,8767,389,1390,2,02
86,IR.QM,8,پسر,روستا,366,336,30,1390,25,25
87,IR.QZ,8,پسر,روستا,2367,2231,136,1390,26,26
88,IR.SB,8,پسر,روستا,15866,13383,2483,1390,11,11
89,IR.SM,8,پسر,روستا,1020,958,62,1390,20,20
90,IR.TH,8,پسر,روستا,7220,6700,520,1390,23,23
91,IR.WA,8,پسر,روستا,9945,9456,489,1390,4,04
92,IR.YA,8,پسر,روستا,1370,1248,122,1390,21,21
93,IR.ZA,8,پسر,روستا,2947,2790,157,1390,19,19
94,IR.AL,9,پسر,روستا,1729,1579,150,1390,30,30
95,IR.AR,9,پسر,روستا,3289,3169,120,1390,24,24
96,IR.BK,9,پسر,روستا,4144,3991,153,1390,5,05
97,IR.BS,9,پسر,روستا,2500,2403,97,1390,18,18
98,IR.CM,9,پسر,روستا,3031,2892,139,1390,14,14
99,IR.EA,9,پسر,روستا,9325,8895,430,1390,3,03
100,IR.ES,9,پسر,روستا,4832,4511,321,1390,10,10
101,IR.FA,9,پسر,روستا,11139,10627,512,1390,7,07
102,IR.GI,9,پسر,روستا,5972,5752,220,1390,1,01
103,IR.GO,9,پسر,روستا,6863,6590,273,1390,27,27
104,IR.HD,9,پسر,روستا,5187,4956,231,1390,13,13
105,IR.HG,9,پسر,روستا,7543,7102,441,1390,22,22
106,IR.IL,9,پسر,روستا,1359,1263,96,1390,16,16
107,IR.KB,9,پسر,روستا,2653,2563,90,1390,17,17
108,IR.KD,9,پسر,روستا,3854,3725,129,1390,12,12
109,IR.KE,9,پسر,روستا,11089,10156,933,1390,8,08
110,IR.KJ,9,پسر,روستا,2860,2736,124,1390,29,29
111,IR.KS,9,پسر,روستا,3619,3502,117,1390,28,28
112,IR.KV,9,پسر,روستا,15056,14288,768,1390,9,09
113,IR.KZ,9,پسر,روستا,12580,11701,879,1390,6,06
114,IR.LO,9,پسر,روستا,5273,4959,314,1390,15,15
115,IR.MK,9,پسر,روستا,2291,2123,168,1390,0,00
116,IR.MN,9,پسر,روستا,9149,8815,334,1390,2,02
117,IR.QM,9,پسر,روستا,452,426,26,1390,25,25
118,IR.QZ,9,پسر,روستا,2436,2315,121,1390,26,26
119,IR.SB,9,پسر,روستا,15828,13606,2222,1390,11,11
120,IR.SM,9,پسر,روستا,1020,961,59,1390,20,20
121,IR.TH,9,پسر,روستا,6861,6453,408,1390,23,23
122,IR.WA,9,پسر,روستا,10060,9532,528,1390,4,04
123,IR.YA,9,پسر,روستا,1459,1360,99,1390,21,21
124,IR.ZA,9,پسر,روستا,3001,2845,156,1390,19,19
125,IR.AL,10,پسر,روستا,1849,1678,171,1390,30,30
126,IR.AR,10,پسر,روستا,3389,3268,121,1390,24,24
127,IR.BK,10,پسر,روستا,4235,4042,193,1390,5,05
128,IR.BS,10,پسر,روستا,2268,2188,80,1390,18,18
129,IR.CM,10,پسر,روستا,2975,2836,139,1390,14,14
130,IR.EA,10,پسر,روستا,9093,8677,416,1390,3,03
131,IR.ES,10,پسر,روستا,5000,4714,286,1390,10,10
132,IR.FA,10,پسر,روستا,11122,10675,447,1390,7,07
133,IR.GI,10,پسر,روستا,6792,6525,267,1390,1,01
134,IR.GO,10,پسر,روستا,6587,6298,289,1390,27,27
135,IR.HD,10,پسر,روستا,5208,5004,204,1390,13,13
136,IR.HG,10,پسر,روستا,7442,7033,409,1390,22,22
137,IR.IL,10,پسر,روستا,1393,1293,100,1390,16,16
138,IR.KB,10,پسر,روستا,2485,2390,95,1390,17,17
139,IR.KD,10,پسر,روستا,3879,3749,130,1390,12,12
140,IR.KE,10,پسر,روستا,10837,9944,893,1390,8,08
141,IR.KJ,10,پسر,روستا,2649,2538,111,1390,29,29
142,IR.KS,10,پسر,روستا,3539,3405,134,1390,28,28
143,IR.KV,10,پسر,روستا,14419,13771,648,1390,9,09
144,IR.KZ,10,پسر,روستا,12357,11621,736,1390,6,06
145,IR.LO,10,پسر,روستا,5311,5025,286,1390,15,15
146,IR.MK,10,پسر,روستا,2384,2217,167,1390,0,00
147,IR.MN,10,پسر,روستا,9507,9172,335,1390,2,02
148,IR.QM,10,پسر,روستا,450,411,39,1390,25,25
149,IR.QZ,10,پسر,روستا,2306,2175,131,1390,26,26
150,IR.SB,10,پسر,روستا,13938,11744,2194,1390,11,11
151,IR.SM,10,پسر,روستا,1033,966,67,1390,20,20
152,IR.TH,10,پسر,روستا,7319,6855,464,1390,23,23
153,IR.WA,10,پسر,روستا,9766,9261,505,1390,4,04
154,IR.YA,10,پسر,روستا,1366,1252,114,1390,21,21
155,IR.ZA,10,پسر,روستا,2863,2748,115,1390,19,19
156,IR.AL,11,پسر,روستا,1695,1559,136,1390,30,30
157,IR.AR,11,پسر,روستا,3347,3160,187,1390,24,24
158,IR.BK,11,پسر,روستا,4210,3989,221,1390,5,05
159,IR.BS,11,پسر,روستا,2179,2096,83,1390,18,18
160,IR.CM,11,پسر,روستا,2893,2742,151,1390,14,14
161,IR.EA,11,پسر,روستا,8776,8231,545,1390,3,03
162,IR.ES,11,پسر,روستا,4974,4670,304,1390,10,10
163,IR.FA,11,پسر,روستا,10932,10497,435,1390,7,07
164,IR.GI,11,پسر,روستا,7036,6706,330,1390,1,01
165,IR.GO,11,پسر,روستا,7042,6673,369,1390,27,27
166,IR.HD,11,پسر,روستا,5230,5020,210,1390,13,13
167,IR.HG,11,پسر,روستا,7577,7079,498,1390,22,22
168,IR.IL,11,پسر,روستا,1436,1316,120,1390,16,16
169,IR.KB,11,پسر,روستا,2289,2190,99,1390,17,17
170,IR.KD,11,پسر,روستا,3769,3549,220,1390,12,12
171,IR.KE,11,پسر,روستا,10819,9920,899,1390,8,08
172,IR.KJ,11,پسر,روستا,2586,2466,120,1390,29,29
173,IR.KS,11,پسر,روستا,3745,3555,190,1390,28,28
174,IR.KV,11,پسر,روستا,14662,13812,850,1390,9,09
175,IR.KZ,11,پسر,روستا,11926,11025,901,1390,6,06
176,IR.LO,11,پسر,روستا,5267,4908,359,1390,15,15
177,IR.MK,11,پسر,روستا,2383,2200,183,1390,0,00
178,IR.MN,11,پسر,روستا,9673,9347,326,1390,2,02
179,IR.QM,11,پسر,روستا,381,352,29,1390,25,25
180,IR.QZ,11,پسر,روستا,2364,2221,143,1390,26,26
181,IR.SB,11,پسر,روستا,14417,11993,2424,1390,11,11
182,IR.SM,11,پسر,روستا,1024,968,56,1390,20,20
183,IR.TH,11,پسر,روستا,7010,6574,436,1390,23,23
184,IR.WA,11,پسر,روستا,9629,8944,685,1390,4,04
185,IR.YA,11,پسر,روستا,1282,1187,95,1390,21,21
186,IR.ZA,11,پسر,روستا,2745,2570,175,1390,19,19
187,IR.AL,12,پسر,روستا,1853,1654,199,1390,30,30
188,IR.AR,12,پسر,روستا,3645,3419,226,1390,24,24
189,IR.BK,12,پسر,روستا,4474,4155,319,1390,5,05
190,IR.BS,12,پسر,روستا,2331,2228,103,1390,18,18
191,IR.CM,12,پسر,روستا,3036,2824,212,1390,14,14
192,IR.EA,12,پسر,روستا,8891,8157,734,1390,3,03
193,IR.ES,12,پسر,روستا,5006,4682,324,1390,10,10
194,IR.FA,12,پسر,روستا,11083,10544,539,1390,7,07
195,IR.GI,12,پسر,روستا,6919,6539,380,1390,1,01
196,IR.GO,12,پسر,روستا,7119,6553,566,1390,27,27
197,IR.HD,12,پسر,روستا,5601,5297,304,1390,13,13
198,IR.HG,12,پسر,روستا,8078,7388,690,1390,22,22
199,IR.IL,12,پسر,روستا,1490,1373,117,1390,16,16
200,IR.KB,12,پسر,روستا,2567,2444,123,1390,17,17
201,IR.KD,12,پسر,روستا,3898,3596,302,1390,12,12
202,IR.KE,12,پسر,روستا,11520,10343,1177,1390,8,08
203,IR.KJ,12,پسر,روستا,2746,2517,229,1390,29,29
204,IR.KS,12,پسر,روستا,4031,3732,299,1390,28,28
205,IR.KV,12,پسر,روستا,15210,13876,1334,1390,9,09
206,IR.KZ,12,پسر,روستا,12805,11532,1273,1390,6,06
207,IR.LO,12,پسر,روستا,5626,5074,552,1390,15,15
208,IR.MK,12,پسر,روستا,2440,2212,228,1390,0,00
209,IR.MN,12,پسر,روستا,9515,9134,381,1390,2,02
210,IR.QM,12,پسر,روستا,412,377,35,1390,25,25
211,IR.QZ,12,پسر,روستا,2324,2168,156,1390,26,26
212,IR.SB,12,پسر,روستا,15325,11918,3407,1390,11,11
213,IR.SM,12,پسر,روستا,1048,959,89,1390,20,20
214,IR.TH,12,پسر,روستا,7544,6919,625,1390,23,23
215,IR.WA,12,پسر,روستا,9721,8707,1014,1390,4,04
216,IR.YA,12,پسر,روستا,1382,1283,99,1390,21,21
217,IR.ZA,12,پسر,روستا,2900,2686,214,1390,19,19
218,IR.AL,13,پسر,روستا,1893,1655,238,1390,30,30
219,IR.AR,13,پسر,روستا,3879,3460,419,1390,24,24
220,IR.BK,13,پسر,روستا,4509,4110,399,1390,5,05
221,IR.BS,13,پسر,روستا,2168,2061,107,1390,18,18
222,IR.CM,13,پسر,روستا,3275,2997,278,1390,14,14
223,IR.EA,13,پسر,روستا,8819,7890,929,1390,3,03
224,IR.ES,13,پسر,روستا,5020,4633,387,1390,10,10
225,IR.FA,13,پسر,روستا,10774,10049,725,1390,7,07
226,IR.GI,13,پسر,روستا,7270,6709,561,1390,1,01
227,IR.GO,13,پسر,روستا,7056,6157,899,1390,27,27
228,IR.HD,13,پسر,روستا,5489,5009,480,1390,13,13
229,IR.HG,13,پسر,روستا,8465,7641,824,1390,22,22
230,IR.IL,13,پسر,روستا,1514,1333,181,1390,16,16
231,IR.KB,13,پسر,روستا,2686,2524,162,1390,17,17
232,IR.KD,13,پسر,روستا,4309,3836,473,1390,12,12
233,IR.KE,13,پسر,روستا,11773,10349,1424,1390,8,08
234,IR.KJ,13,پسر,روستا,2605,2321,284,1390,29,29
235,IR.KS,13,پسر,روستا,3977,3551,426,1390,28,28
236,IR.KV,13,پسر,روستا,14959,13144,1815,1390,9,09
237,IR.KZ,13,پسر,روستا,12647,10978,1669,1390,6,06
238,IR.LO,13,پسر,روستا,5556,4877,679,1390,15,15
239,IR.MK,13,پسر,روستا,2588,2253,335,1390,0,00
240,IR.MN,13,پسر,روستا,9241,8753,488,1390,2,02
241,IR.QM,13,پسر,روستا,373,326,47,1390,25,25
242,IR.QZ,13,پسر,روستا,2329,2119,210,1390,26,26
243,IR.SB,13,پسر,روستا,15528,11582,3946,1390,11,11
244,IR.SM,13,پسر,روستا,1077,979,98,1390,20,20
245,IR.TH,13,پسر,روستا,7414,6674,740,1390,23,23
246,IR.WA,13,پسر,روستا,10179,8675,1504,1390,4,04
247,IR.YA,13,پسر,روستا,1348,1201,147,1390,21,21
248,IR.ZA,13,پسر,روستا,2985,2716,269,1390,19,19
249,IR.AL,14,پسر,روستا,1830,1591,239,1390,30,30
250,IR.AR,14,پسر,روستا,3932,3248,684,1390,24,24
251,IR.BK,14,پسر,روستا,4871,4237,634,1390,5,05
252,IR.BS,14,پسر,روستا,2157,2001,156,1390,18,18
253,IR.CM,14,پسر,روستا,3413,2989,424,1390,14,14
254,IR.EA,14,پسر,روستا,8774,7246,1528,1390,3,03
255,IR.ES,14,پسر,روستا,4817,4260,557,1390,10,10
256,IR.FA,14,پسر,روستا,10569,9437,1132,1390,7,07
257,IR.GI,14,پسر,روستا,7699,6820,879,1390,1,01
258,IR.GO,14,پسر,روستا,7597,5996,1601,1390,27,27
259,IR.HD,14,پسر,روستا,5950,5071,879,1390,13,13
260,IR.HG,14,پسر,روستا,8611,7433,1178,1390,22,22
261,IR.IL,14,پسر,روستا,1590,1359,231,1390,16,16
262,IR.KB,14,پسر,روستا,2697,2476,221,1390,17,17
263,IR.KD,14,پسر,روستا,4367,3515,852,1390,12,12
264,IR.KE,14,پسر,روستا,11888,9917,1971,1390,8,08
265,IR.KJ,14,پسر,روستا,2214,1834,380,1390,29,29
266,IR.KS,14,پسر,روستا,4092,3291,801,1390,28,28
267,IR.KV,14,پسر,روستا,15322,11853,3469,1390,9,09
268,IR.KZ,14,پسر,روستا,13007,10529,2478,1390,6,06
269,IR.LO,14,پسر,روستا,6401,5381,1020,1390,15,15
270,IR.MK,14,پسر,روستا,2835,2308,527,1390,0,00
271,IR.MN,14,پسر,روستا,9370,8519,851,1390,2,02
272,IR.QM,14,پسر,روستا,420,336,84,1390,25,25
273,IR.QZ,14,پسر,روستا,2562,2156,406,1390,26,26
274,IR.SB,14,پسر,روستا,15552,10646,4906,1390,11,11
275,IR.SM,14,پسر,روستا,1024,880,144,1390,20,20
276,IR.TH,14,پسر,روستا,7492,6387,1105,1390,23,23
277,IR.WA,14,پسر,روستا,10595,8355,2240,1390,4,04
278,IR.YA,14,پسر,روستا,1265,1114,151,1390,21,21
279,IR.ZA,14,پسر,روستا,3338,2853,485,1390,19,19
280,IR.AL,15,پسر,روستا,1921,1578,343,1390,30,30
281,IR.AR,15,پسر,روستا,4261,3119,1142,1390,24,24
282,IR.BK,15,پسر,روستا,5352,4374,978,1390,5,05
283,IR.BS,15,پسر,روستا,2305,1992,313,1390,18,18
284,IR.CM,15,پسر,روستا,3451,2764,687,1390,14,14
285,IR.EA,15,پسر,روستا,9468,7013,2455,1390,3,03
286,IR.ES,15,پسر,روستا,4992,4047,945,1390,10,10
287,IR.FA,15,پسر,روستا,11477,9523,1954,1390,7,07
288,IR.GI,15,پسر,روستا,7817,6326,1491,1390,1,01
289,IR.GO,15,پسر,روستا,8077,5434,2643,1390,27,27
290,IR.HD,15,پسر,روستا,6444,4856,1588,1390,13,13
291,IR.HG,15,پسر,روستا,8550,6900,1650,1390,22,22
292,IR.IL,15,پسر,روستا,1755,1416,339,1390,16,16
293,IR.KB,15,پسر,روستا,2546,2209,337,1390,17,17
294,IR.KD,15,پسر,روستا,4372,2945,1427,1390,12,12
295,IR.KE,15,پسر,روستا,12888,10100,2788,1390,8,08
296,IR.KJ,15,پسر,روستا,2346,1742,604,1390,29,29
297,IR.KS,15,پسر,روستا,4170,2787,1383,1390,28,28
298,IR.KV,15,پسر,روستا,15211,9785,5426,1390,9,09
299,IR.KZ,15,پسر,روستا,13696,10258,3438,1390,6,06
300,IR.LO,15,پسر,روستا,6914,5356,1558,1390,15,15
301,IR.MK,15,پسر,روستا,3026,2175,851,1390,0,00
302,IR.MN,15,پسر,روستا,9531,8097,1434,1390,2,02
303,IR.QM,15,پسر,روستا,423,295,128,1390,25,25
304,IR.QZ,15,پسر,روستا,2692,2103,589,1390,26,26
305,IR.SB,15,پسر,روستا,14749,9035,5714,1390,11,11
306,IR.SM,15,پسر,روستا,1024,829,195,1390,20,20
307,IR.TH,15,پسر,روستا,7595,5867,1728,1390,23,23
308,IR.WA,15,پسر,روستا,10739,7392,3347,1390,4,04
309,IR.YA,15,پسر,روستا,1367,1051,316,1390,21,21
310,IR.ZA,15,پسر,روستا,3356,2451,905,1390,19,19
311,IR.AL,16,پسر,روستا,1937,1430,507,1390,30,30
312,IR.AR,16,پسر,روستا,4844,3111,1733,1390,24,24
313,IR.BK,16,پسر,روستا,6133,4546,1587,1390,5,05
314,IR.BS,16,پسر,روستا,2508,2005,503,1390,18,18
315,IR.CM,16,پسر,روستا,3798,2684,1114,1390,14,14
316,IR.EA,16,پسر,روستا,10215,6530,3685,1390,3,03
317,IR.ES,16,پسر,روستا,5445,4045,1400,1390,10,10
318,IR.FA,16,پسر,روستا,12728,9723,3005,1390,7,07
319,IR.GI,16,پسر,روستا,8084,5928,2156,1390,1,01
320,IR.GO,16,پسر,روستا,8868,5251,3617,1390,27,27
321,IR.HD,16,پسر,روستا,6793,4496,2297,1390,13,13
322,IR.HG,16,پسر,روستا,8554,6168,2386,1390,22,22
323,IR.IL,16,پسر,روستا,1980,1488,492,1390,16,16
324,IR.KB,16,پسر,روستا,2845,2364,481,1390,17,17
325,IR.KD,16,پسر,روستا,5234,3027,2207,1390,12,12
326,IR.KE,16,پسر,روستا,12737,9169,3568,1390,8,08
327,IR.KJ,16,پسر,روستا,2346,1523,823,1390,29,29
328,IR.KS,16,پسر,روستا,4290,2516,1774,1390,28,28
329,IR.KV,16,پسر,روستا,16086,8652,7434,1390,9,09
330,IR.KZ,16,پسر,روستا,15153,10059,5094,1390,6,06
331,IR.LO,16,پسر,روستا,7593,5424,2169,1390,15,15
332,IR.MK,16,پسر,روستا,3329,2075,1254,1390,0,00
333,IR.MN,16,پسر,روستا,10201,8031,2170,1390,2,02
334,IR.QM,16,پسر,روستا,472,285,187,1390,25,25
335,IR.QZ,16,پسر,روستا,3016,2056,960,1390,26,26
336,IR.SB,16,پسر,روستا,14279,7902,6377,1390,11,11
337,IR.SM,16,پسر,روستا,1117,818,299,1390,20,20
