,Code,age,sex,settlement,population.total,population.ed,population.not.ed,year,addressCod,addressCode
416,IR.IL,19,پسر,روستا,2565,787,1778,1390,16,16
417,IR.KB,19,پسر,روستا,3329,1351,1978,1390,17,17
418,IR.KD,19,پسر,روستا,5102,739,4363,1390,12,12
419,IR.KE,19,پسر,روستا,13908,4115,9793,1390,8,08
420,IR.KJ,19,پسر,روستا,2940,605,2335,1390,29,29
421,IR.KS,19,پسر,روستا,4442,908,3534,1390,28,28
422,IR.KV,19,پسر,روستا,14950,2681,12269,1390,9,09
423,IR.KZ,19,پسر,روستا,17606,4798,12808,1390,6,06
424,IR.LO,19,پسر,روستا,8647,2561,6086,1390,15,15
425,IR.MK,19,پسر,روستا,3299,814,2485,1390,0,00
426,IR.MN,19,پسر,روستا,12511,5326,7185,1390,2,02
427,IR.QM,19,پسر,روستا,588,111,477,1390,25,25
428,IR.QZ,19,پسر,روستا,3559,865,2694,1390,26,26
429,IR.SB,19,پسر,روستا,13976,2841,11135,1390,11,11
430,IR.SM,19,پسر,روستا,2227,413,1814,1390,20,20
431,IR.TH,19,پسر,روستا,9052,2225,6827,1390,23,23
432,IR.WA,19,پسر,روستا,13834,3338,10496,1390,4,04
433,IR.YA,19,پسر,روستا,2897,640,2257,1390,21,21
434,IR.ZA,19,پسر,روستا,3781,923,2858,1390,19,19
435,IR.AL,6,دختر,روستا,1792,1193,599,1390,30,30
436,IR.AR,6,دختر,روستا,3221,2533,688,1390,24,24
437,IR.BK,6,دختر,روستا,4333,3366,967,1390,5,05
438,IR.BS,6,دختر,روستا,2755,2116,639,1390,18,18
439,IR.CM,6,دختر,روستا,3236,2571,665,1390,14,14
440,IR.EA,6,دختر,روستا,9084,6946,2138,1390,3,03
441,IR.ES,6,دختر,روستا,5189,3824,1365,1390,10,10
442,IR.FA,6,دختر,روستا,11466,8866,2600,1390,7,07
443,IR.GI,6,دختر,روستا,5859,4570,1289,1390,1,01
444,IR.GO,6,دختر,روستا,8097,6023,2074,1390,27,27
445,IR.HD,6,دختر,روستا,5151,4083,1068,1390,13,13
446,IR.HG,6,دختر,روستا,7739,5646,2093,1390,22,22
447,IR.IL,6,دختر,روستا,1535,1164,371,1390,16,16
448,IR.KB,6,دختر,روستا,2800,2265,535,1390,17,17
449,IR.KD,6,دختر,روستا,3988,3212,776,1390,12,12
450,IR.KE,6,دختر,روستا,11757,8103,3654,1390,8,08
451,IR.KJ,6,دختر,روستا,2695,2125,570,1390,29,29
452,IR.KS,6,دختر,روستا,3728,2928,800,1390,28,28
453,IR.KV,6,دختر,روستا,15510,11676,3834,1390,9,09
454,IR.KZ,6,دختر,روستا,12269,8815,3454,1390,6,06
455,IR.LO,6,دختر,روستا,5424,4161,1263,1390,15,15
456,IR.MK,6,دختر,روستا,2426,1829,597,1390,0,00
457,IR.MN,6,دختر,روستا,9355,7187,2168,1390,2,02
458,IR.QM,6,دختر,روستا,394,268,126,1390,25,25
459,IR.QZ,6,دختر,روستا,2428,1805,623,1390,26,26
460,IR.SB,6,دختر,روستا,16643,10059,6584,1390,11,11
461,IR.SM,6,دختر,روستا,1128,769,359,1390,20,20
462,IR.TH,6,دختر,روستا,7288,4897,2391,1390,23,23
463,IR.WA,6,دختر,روستا,10162,7543,2619,1390,4,04
464,IR.YA,6,دختر,روستا,1390,1014,376,1390,21,21
465,IR.ZA,6,دختر,روستا,2872,2252,620,1390,19,19
466,IR.AL,7,دختر,روستا,1700,1477,223,1390,30,30
467,IR.AR,7,دختر,روستا,3124,3014,110,1390,24,24
468,IR.BK,7,دختر,روستا,4201,4004,197,1390,5,05
469,IR.BS,7,دختر,روستا,2376,2246,130,1390,18,18
470,IR.CM,7,دختر,روستا,3223,3048,175,1390,14,14
471,IR.EA,7,دختر,روستا,8781,8285,496,1390,3,03
472,IR.ES,7,دختر,روستا,4793,4404,389,1390,10,10
473,IR.FA,7,دختر,روستا,10806,10287,519,1390,7,07
474,IR.GI,7,دختر,روستا,5477,5252,225,1390,1,01
475,IR.GO,7,دختر,روستا,7405,7041,364,1390,27,27
476,IR.HD,7,دختر,روستا,5208,4979,229,1390,13,13
477,IR.HG,7,دختر,روستا,7321,6803,518,1390,22,22
478,IR.IL,7,دختر,روستا,1391,1300,91,1390,16,16
479,IR.KB,7,دختر,روستا,2533,2433,100,1390,17,17
480,IR.KD,7,دختر,روستا,4114,3949,165,1390,12,12
481,IR.KE,7,دختر,روستا,10740,9751,989,1390,8,08
482,IR.KJ,7,دختر,روستا,2630,2518,112,1390,29,29
483,IR.KS,7,دختر,روستا,3685,3547,138,1390,28,28
484,IR.KV,7,دختر,روستا,14798,13991,807,1390,9,09
485,IR.KZ,7,دختر,روستا,11976,10971,1005,1390,6,06
486,IR.LO,7,دختر,روستا,5382,5034,348,1390,15,15
487,IR.MK,7,دختر,روستا,2311,2125,186,1390,0,00
488,IR.MN,7,دختر,روستا,8366,7988,378,1390,2,02
489,IR.QM,7,دختر,روستا,382,352,30,1390,25,25
490,IR.QZ,7,دختر,روستا,2308,2156,152,1390,26,26
491,IR.SB,7,دختر,روستا,16078,13236,2842,1390,11,11
492,IR.SM,7,دختر,روستا,962,870,92,1390,20,20
493,IR.TH,7,دختر,روستا,7095,6443,652,1390,23,23
494,IR.WA,7,دختر,روستا,9837,9230,607,1390,4,04
495,IR.YA,7,دختر,روستا,1249,1128,121,1390,21,21
496,IR.ZA,7,دختر,روستا,2728,2568,160,1390,19,19
497,IR.AL,8,دختر,روستا,1695,1511,184,1390,30,30
498,IR.AR,8,دختر,روستا,3093,2995,98,1390,24,24
499,IR.BK,8,دختر,روستا,4108,3914,194,1390,5,05
500,IR.BS,8,دختر,روستا,2349,2253,96,1390,18,18
501,IR.CM,8,دختر,روستا,3066,2923,143,1390,14,14
502,IR.EA,8,دختر,روستا,8841,8421,420,1390,3,03
503,IR.ES,8,دختر,روستا,4787,4442,345,1390,10,10
504,IR.FA,8,دختر,روستا,10925,10467,458,1390,7,07
505,IR.GI,8,دختر,روستا,5702,5485,217,1390,1,01
506,IR.GO,8,دختر,روستا,6570,6269,301,1390,27,27
507,IR.HD,8,دختر,روستا,4905,4736,169,1390,13,13
508,IR.HG,8,دختر,روستا,7371,6918,453,1390,22,22
509,IR.IL,8,دختر,روستا,1330,1243,87,1390,16,16
510,IR.KB,8,دختر,روستا,2537,2432,105,1390,17,17
511,IR.KD,8,دختر,روستا,3710,3579,131,1390,12,12
512,IR.KE,8,دختر,روستا,10578,9680,898,1390,8,08
513,IR.KJ,8,دختر,روستا,2611,2480,131,1390,29,29
514,IR.KS,8,دختر,روستا,3619,3474,145,1390,28,28
515,IR.KV,8,دختر,روستا,14415,13683,732,1390,9,09
516,IR.KZ,8,دختر,روستا,12212,11290,922,1390,6,06
517,IR.LO,8,دختر,روستا,5337,5031,306,1390,15,15
518,IR.MK,8,دختر,روستا,2275,2076,199,1390,0,00
519,IR.MN,8,دختر,روستا,8757,8428,329,1390,2,02
520,IR.QM,8,دختر,روستا,385,356,29,1390,25,25
521,IR.QZ,8,دختر,روستا,2344,2200,144,1390,26,26
522,IR.SB,8,دختر,روستا,15591,12929,2662,1390,11,11
523,IR.SM,8,دختر,روستا,947,882,65,1390,20,20
524,IR.TH,8,دختر,روستا,7018,6497,521,1390,23,23
525,IR.WA,8,دختر,روستا,9438,8839,599,1390,4,04
526,IR.YA,8,دختر,روستا,1382,1303,79,1390,21,21
527,IR.ZA,8,دختر,روستا,2758,2598,160,1390,19,19
528,IR.AL,9,دختر,روستا,1667,1505,162,1390,30,30
529,IR.AR,9,دختر,روستا,3241,3107,134,1390,24,24
530,IR.BK,9,دختر,روستا,3860,3690,170,1390,5,05
531,IR.BS,9,دختر,روستا,2328,2235,93,1390,18,18
532,IR.CM,9,دختر,روستا,2918,2755,163,1390,14,14
533,IR.EA,9,دختر,روستا,8864,8391,473,1390,3,03
534,IR.ES,9,دختر,روستا,4604,4310,294,1390,10,10
535,IR.FA,9,دختر,روستا,10398,9980,418,1390,7,07
536,IR.GI,9,دختر,روستا,5932,5717,215,1390,1,01
537,IR.GO,9,دختر,روستا,6431,6149,282,1390,27,27
538,IR.HD,9,دختر,روستا,4990,4801,189,1390,13,13
539,IR.HG,9,دختر,روستا,7372,6938,434,1390,22,22
540,IR.IL,9,دختر,روستا,1307,1217,90,1390,16,16
541,IR.KB,9,دختر,روستا,2531,2418,113,1390,17,17
542,IR.KD,9,دختر,روستا,3739,3604,135,1390,12,12
543,IR.KE,9,دختر,روستا,10958,10073,885,1390,8,08
544,IR.KJ,9,دختر,روستا,2534,2415,119,1390,29,29
545,IR.KS,9,دختر,روستا,3414,3284,130,1390,28,28
546,IR.KV,9,دختر,روستا,14045,13369,676,1390,9,09
547,IR.KZ,9,دختر,روستا,11978,11018,960,1390,6,06
548,IR.LO,9,دختر,روستا,4991,4670,321,1390,15,15
549,IR.MK,9,دختر,روستا,2211,2056,155,1390,0,00
550,IR.MN,9,دختر,روستا,8665,8356,309,1390,2,02
551,IR.QM,9,دختر,روستا,322,306,16,1390,25,25
552,IR.QZ,9,دختر,روستا,2191,2065,126,1390,26,26
553,IR.SB,9,دختر,روستا,15392,12847,2545,1390,11,11
554,IR.SM,9,دختر,روستا,953,884,69,1390,20,20
555,IR.TH,9,دختر,روستا,6393,5984,409,1390,23,23
556,IR.WA,9,دختر,روستا,9701,9037,664,1390,4,04
557,IR.YA,9,دختر,روستا,1304,1216,88,1390,21,21
558,IR.ZA,9,دختر,روستا,2756,2601,155,1390,19,19
559,IR.AL,10,دختر,روستا,1624,1484,140,1390,30,30
560,IR.AR,10,دختر,روستا,3421,3280,141,1390,24,24
561,IR.BK,10,دختر,روستا,4038,3832,206,1390,5,05
562,IR.BS,10,دختر,روستا,2212,2133,79,1390,18,18
563,IR.CM,10,دختر,روستا,3009,2849,160,1390,14,14
564,IR.EA,10,دختر,روستا,8747,8230,517,1390,3,03
565,IR.ES,10,دختر,روستا,4712,4414,298,1390,10,10
566,IR.FA,10,دختر,روستا,10705,10263,442,1390,7,07
567,IR.GI,10,دختر,روستا,6676,6400,276,1390,1,01
568,IR.GO,10,دختر,روستا,6260,5933,327,1390,27,27
569,IR.HD,10,دختر,روستا,4941,4733,208,1390,13,13
570,IR.HG,10,دختر,روستا,7406,6893,513,1390,22,22
571,IR.IL,10,دختر,روستا,1323,1209,114,1390,16,16
572,IR.KB,10,دختر,روستا,2432,2315,117,1390,17,17
573,IR.KD,10,دختر,روستا,3769,3578,191,1390,12,12
574,IR.KE,10,دختر,روستا,10840,9900,940,1390,8,08
575,IR.KJ,10,دختر,روستا,2490,2369,121,1390,29,29
576,IR.KS,10,دختر,روستا,3309,3170,139,1390,28,28
577,IR.KV,10,دختر,روستا,13927,13234,693,1390,9,09
578,IR.KZ,10,دختر,روستا,12023,10956,1067,1390,6,06
579,IR.LO,10,دختر,روستا,5187,4808,379,1390,15,15
580,IR.MK,10,دختر,روستا,2234,2061,173,1390,0,00
581,IR.MN,10,دختر,روستا,9074,8753,321,1390,2,02
582,IR.QM,10,دختر,روستا,425,395,30,1390,25,25
583,IR.QZ,10,دختر,روستا,2213,2102,111,1390,26,26
584,IR.SB,10,دختر,روستا,13859,11156,2703,1390,11,11
585,IR.SM,10,دختر,روستا,955,892,63,1390,20,20
586,IR.TH,10,دختر,روستا,7026,6563,463,1390,23,23
587,IR.WA,10,دختر,روستا,9414,8609,805,1390,4,04
588,IR.YA,10,دختر,روستا,1275,1196,79,1390,21,21
589,IR.ZA,10,دختر,روستا,2907,2750,157,1390,19,19
590,IR.AL,11,دختر,روستا,1638,1464,174,1390,30,30
591,IR.AR,11,دختر,روستا,3229,2946,283,1390,24,24
592,IR.BK,11,دختر,روستا,3944,3417,527,1390,5,05
593,IR.BS,11,دختر,روستا,2164,2060,104,1390,18,18
594,IR.CM,11,دختر,روستا,2818,2609,209,1390,14,14
595,IR.EA,11,دختر,روستا,8304,7336,968,1390,3,03
596,IR.ES,11,دختر,روستا,4745,4400,345,1390,10,10
597,IR.FA,11,دختر,روستا,10421,9908,513,1390,7,07
598,IR.GI,11,دختر,روستا,6459,6125,334,1390,1,01
599,IR.GO,11,دختر,روستا,6748,5943,805,1390,27,27
600,IR.HD,11,دختر,روستا,4980,4557,423,1390,13,13
601,IR.HG,11,دختر,روستا,7030,6432,598,1390,22,22
602,IR.IL,11,دختر,روستا,1284,1162,122,1390,16,16
603,IR.KB,11,دختر,روستا,2302,2141,161,1390,17,17
604,IR.KD,11,دختر,روستا,3443,2754,689,1390,12,12
605,IR.KE,11,دختر,روستا,10439,9441,998,1390,8,08
606,IR.KJ,11,دختر,روستا,2338,2121,217,1390,29,29
607,IR.KS,11,دختر,روستا,3653,3231,422,1390,28,28
608,IR.KV,11,دختر,روستا,14056,12595,1461,1390,9,09
609,IR.KZ,11,دختر,روستا,11307,9648,1659,1390,6,06
610,IR.LO,11,دختر,روستا,4964,4373,591,1390,15,15
611,IR.MK,11,دختر,روستا,2140,1916,224,1390,0,00
612,IR.MN,11,دختر,روستا,9293,8961,332,1390,2,02
613,IR.QM,11,دختر,روستا,382,344,38,1390,25,25
614,IR.QZ,11,دختر,روستا,2174,1976,198,1390,26,26
615,IR.SB,11,دختر,روستا,13789,10156,3633,1390,11,11
616,IR.SM,11,دختر,روستا,964,881,83,1390,20,20
617,IR.TH,11,دختر,روستا,6753,6285,468,1390,23,23
618,IR.WA,11,دختر,روستا,9179,7570,1609,1390,4,04
619,IR.YA,11,دختر,روستا,1229,1142,87,1390,21,21
620,IR.ZA,11,دختر,روستا,2621,2345,276,1390,19,19
621,IR.AL,12,دختر,روستا,1645,1488,157,1390,30,30
622,IR.AR,12,دختر,روستا,3468,2964,504,1390,24,24
623,IR.BK,12,دختر,روستا,4122,3233,889,1390,5,05
624,IR.BS,12,دختر,روستا,2100,1971,129,1390,18,18
625,IR.CM,12,دختر,روستا,3014,2648,366,1390,14,14
626,IR.EA,12,دختر,روستا,8501,7087,1414,1390,3,03
627,IR.ES,12,دختر,روستا,4856,4491,365,1390,10,10
628,IR.FA,12,دختر,روستا,10737,10031,706,1390,7,07
629,IR.GI,12,دختر,روستا,6689,6197,492,1390,1,01
630,IR.GO,12,دختر,روستا,6728,5490,1238,1390,27,27
631,IR.HD,12,دختر,روستا,5240,4448,792,1390,13,13
632,IR.HG,12,دختر,روستا,7993,6915,1078,1390,22,22
633,IR.IL,12,دختر,روستا,1408,1224,184,1390,16,16
634,IR.KB,12,دختر,روستا,2458,2181,277,1390,17,17
635,IR.KD,12,دختر,روستا,3813,2540,1273,1390,12,12
636,IR.KE,12,دختر,روستا,10715,9466,1249,1390,8,08
637,IR.KJ,12,دختر,روستا,2485,2088,397,1390,29,29
638,IR.KS,12,دختر,روستا,4020,3274,746,1390,28,28
639,IR.KV,12,دختر,روستا,14550,11859,2691,1390,9,09
640,IR.KZ,12,دختر,روستا,12095,9318,2777,1390,6,06
641,IR.LO,12,دختر,روستا,5334,4400,934,1390,15,15
642,IR.MK,12,دختر,روستا,2336,1983,353,1390,0,00
643,IR.MN,12,دختر,روستا,9038,8656,382,1390,2,02
644,IR.QM,12,دختر,روستا,437,384,53,1390,25,25
645,IR.QZ,12,دختر,روستا,2211,1961,250,1390,26,26
646,IR.SB,12,دختر,روستا,15121,9511,5610,1390,11,11
647,IR.SM,12,دختر,روستا,964,871,93,1390,20,20
648,IR.TH,12,دختر,روستا,6918,6327,591,1390,23,23
649,IR.WA,12,دختر,روستا,9571,6911,2660,1390,4,04
650,IR.YA,12,دختر,روستا,1251,1138,113,1390,21,21
651,IR.ZA,12,دختر,روستا,2677,2196,481,1390,19,19
652,IR.AL,13,دختر,روستا,1762,1561,201,1390,30,30
653,IR.AR,13,دختر,روستا,3554,2756,798,1390,24,24
654,IR.BK,13,دختر,روستا,4447,3224,1223,1390,5,05
655,IR.BS,13,دختر,روستا,2110,1930,180,1390,18,18
656,IR.CM,13,دختر,روستا,3215,2691,524,1390,14,14
657,IR.EA,13,دختر,روستا,8412,6389,2023,1390,3,03
658,IR.ES,13,دختر,روستا,4830,4403,427,1390,10,10
659,IR.FA,13,دختر,روستا,10285,9381,904,1390,7,07
660,IR.GI,13,دختر,روستا,6710,6040,670,1390,1,01
661,IR.GO,13,دختر,روستا,6688,4941,1747,1390,27,27
662,IR.HD,13,دختر,روستا,5243,4089,1154,1390,13,13
663,IR.HG,13,دختر,روستا,7923,6563,1360,1390,22,22
664,IR.IL,13,دختر,روستا,1400,1184,216,1390,16,16
665,IR.KB,13,دختر,روستا,2460,2071,389,1390,17,17
666,IR.KD,13,دختر,روستا,3880,2202,1678,1390,12,12
667,IR.KE,13,دختر,روستا,11147,9432,1715,1390,8,08
668,IR.KJ,13,دختر,روستا,2266,1771,495,1390,29,29
669,IR.KS,13,دختر,روستا,4060,3078,982,1390,28,28
670,IR.KV,13,دختر,روستا,14444,10955,3489,1390,9,09
671,IR.KZ,13,دختر,روستا,12277,8792,3485,1390,6,06
672,IR.LO,13,دختر,روستا,5257,4076,1181,1390,15,15
673,IR.MK,13,دختر,روستا,2335,1852,483,1390,0,00
674,IR.MN,13,دختر,روستا,8961,8432,529,1390,2,02
675,IR.QM,13,دختر,روستا,414,341,73,1390,25,25
676,IR.QZ,13,دختر,روستا,2321,1924,397,1390,26,26
677,IR.SB,13,دختر,روستا,15323,8225,7098,1390,11,11
678,IR.SM,13,دختر,روستا,1092,973,119,1390,20,20
679,IR.TH,13,دختر,روستا,6950,6182,768,1390,23,23
680,IR.WA,13,دختر,روستا,9990,6210,3780,1390,4,04
681,IR.YA,13,دختر,روستا,1234,1112,122,1390,21,21
682,IR.ZA,13,دختر,روستا,2797,2142,655,1390,19,19
683,IR.AL,14,دختر,روستا,1728,1436,292,1390,30,30
684,IR.AR,14,دختر,روستا,3835,2505,1330,1390,24,24
685,IR.BK,14,دختر,روستا,4670,2924,1746,1390,5,05
686,IR.BS,14,دختر,روستا,2008,1751,257,1390,18,18
687,IR.CM,14,دختر,روستا,3442,2696,746,1390,14,14
688,IR.EA,14,دختر,روستا,8424,5141,3283,1390,3,03
689,IR.ES,14,دختر,روستا,4813,4140,673,1390,10,10
690,IR.FA,14,دختر,روستا,10335,8837,1498,1390,7,07
691,IR.GI,14,دختر,روستا,7283,6187,1096,1390,1,01
692,IR.GO,14,دختر,روستا,7320,4549,2771,1390,27,27
693,IR.HD,14,دختر,روستا,5348,3397,1951,1390,13,13
694,IR.HG,14,دختر,روستا,8189,6235,1954,1390,22,22
695,IR.IL,14,دختر,روستا,1472,1147,325,1390,16,16
696,IR.KB,14,دختر,روستا,2525,1945,580,1390,17,17
697,IR.KD,14,دختر,روستا,4182,1808,2374,1390,12,12
698,IR.KE,14,دختر,روستا,11450,9095,2355,1390,8,08
699,IR.KJ,14,دختر,روستا,2219,1523,696,1390,29,29
700,IR.KS,14,دختر,روستا,4003,2445,1558,1390,28,28
701,IR.KV,14,دختر,روستا,14411,8731,5680,1390,9,09
702,IR.KZ,14,دختر,روستا,12367,7706,4661,1390,6,06
703,IR.LO,14,دختر,روستا,6123,4117,2006,1390,15,15
704,IR.MK,14,دختر,روستا,2633,1765,868,1390,0,00
705,IR.MN,14,دختر,روستا,9245,8350,895,1390,2,02
706,IR.QM,14,دختر,روستا,393,279,114,1390,25,25
707,IR.QZ,14,دختر,روستا,2369,1651,718,1390,26,26
708,IR.SB,14,دختر,روستا,15053,6851,8202,1390,11,11
709,IR.SM,14,دختر,روستا,1032,857,175,1390,20,20
710,IR.TH,14,دختر,روستا,7037,5855,1182,1390,23,23
711,IR.WA,14,دختر,روستا,10019,5219,4800,1390,4,04
712,IR.YA,14,دختر,روستا,1178,994,184,1390,21,21
713,IR.ZA,14,دختر,روستا,3208,1944,1264,1390,19,19
714,IR.AL,15,دختر,روستا,1765,1361,404,1390,30,30
715,IR.AR,15,دختر,روستا,3980,2227,1753,1390,24,24
716,IR.BK,15,دختر,روستا,4871,2576,2295,1390,5,05
717,IR.BS,15,دختر,روستا,2192,1748,444,1390,18,18
718,IR.CM,15,دختر,روستا,3412,2387,1025,1390,14,14
719,IR.EA,15,دختر,روستا,8820,4431,4389,1390,3,03
720,IR.ES,15,دختر,روستا,4760,3786,974,1390,10,10
721,IR.FA,15,دختر,روستا,10990,8548,2442,1390,7,07
722,IR.GI,15,دختر,روستا,7492,5666,1826,1390,1,01
723,IR.GO,15,دختر,روستا,7897,4036,3861,1390,27,27
724,IR.HD,15,دختر,روستا,6112,3212,2900,1390,13,13
725,IR.HG,15,دختر,روستا,8278,5718,2560,1390,22,22
726,IR.IL,15,دختر,روستا,1750,1255,495,1390,16,16
727,IR.KB,15,دختر,روستا,2636,1879,757,1390,17,17
728,IR.KD,15,دختر,روستا,4306,1398,2908,1390,12,12
729,IR.KE,15,دختر,روستا,11939,8714,3225,1390,8,08
730,IR.KJ,15,دختر,روستا,2210,1204,1006,1390,29,29
731,IR.KS,15,دختر,روستا,4027,2001,2026,1390,28,28
732,IR.KV,15,دختر,روستا,14423,6825,7598,1390,9,09
733,IR.KZ,15,دختر,روستا,13078,7086,5992,1390,6,06
734,IR.LO,15,دختر,روستا,6340,3802,2538,1390,15,15
735,IR.MK,15,دختر,روستا,2703,1605,1098,1390,0,00
736,IR.MN,15,دختر,روستا,9595,7990,1605,1390,2,02
737,IR.QM,15,دختر,روستا,438,280,158,1390,25,25
738,IR.QZ,15,دختر,روستا,2486,1457,1029,1390,26,26
739,IR.SB,15,دختر,روستا,14411,5473,8938,1390,11,11
740,IR.SM,15,دختر,روستا,982,751,231,1390,20,20
741,IR.TH,15,دختر,روستا,7257,5475,1782,1390,23,23
742,IR.WA,15,دختر,روستا,10166,4164,6002,1390,4,04
743,IR.YA,15,دختر,روستا,1200,948,252,1390,21,21
744,IR.ZA,15,دختر,روستا,3306,1588,1718,1390,19,19
745,IR.AL,16,دختر,روستا,1806,1277,529,1390,30,30
746,IR.AR,16,دختر,روستا,4484,2187,2297,1390,24,24
747,IR.BK,16,دختر,روستا,5564,2621,2943,1390,5,05
748,IR.BS,16,دختر,روستا,2455,1831,624,1390,18,18
749,IR.CM,16,دختر,روستا,3840,2417,1423,1390,14,14
750,IR.EA,16,دختر,روستا,9575,4148,5427,1390,3,03
751,IR.ES,16,دختر,روستا,5303,3927,1376,1390,10,10
752,IR.FA,16,دختر,روستا,12306,8753,3553,1390,7,07
753,IR.GI,16,دختر,روستا,7659,5255,2404,1390,1,01
754,IR.GO,16,دختر,روستا,8601,3785,4816,1390,27,27
755,IR.HD,16,دختر,روستا,6559,2996,3563,1390,13,13
756,IR.HG,16,دختر,روستا,8329,5300,3029,1390,22,22
757,IR.IL,16,دختر,روستا,1858,1259,599,1390,16,16
758,IR.KB,16,دختر,روستا,3069,1919,1150,1390,17,17
759,IR.KD,16,دختر,روستا,5096,1422,3674,1390,12,12
760,IR.KE,16,دختر,روستا,12001,7939,4062,1390,8,08
761,IR.KJ,16,دختر,روستا,2110,1034,1076,1390,29,29
762,IR.KS,16,دختر,روستا,4261,1864,2397,1390,28,28
763,IR.KV,16,دختر,روستا,15301,6304,8997,1390,9,09
764,IR.KZ,16,دختر,روستا,14313,6912,7401,1390,6,06
765,IR.LO,16,دختر,روستا,6857,3692,3165,1390,15,15
766,IR.MK,16,دختر,روستا,2869,1464,1405,1390,0,00
767,IR.MN,16,دختر,روستا,9763,7463,2300,1390,2,02
768,IR.QM,16,دختر,روستا,433,231,202,1390,25,25
769,IR.QZ,16,دختر,روستا,2796,1323,1473,1390,26,26
770,IR.SB,16,دختر,روستا,14300,4905,9395,1390,11,11
771,IR.SM,16,دختر,روستا,1123,764,359,1390,20,20
772,IR.TH,16,دختر,روستا,7199,4921,2278,1390,23,23
773,IR.WA,16,دختر,روستا,11596,3991,7605,1390,4,04
774,IR.YA,16,دختر,روستا,1150,874,276,1390,21,21
775,IR.ZA,16,دختر,روستا,3869,1545,2324,1390,19,19
776,IR.AL,17,دختر,روستا,1871,1054,817,1390,30,30
777,IR.AR,17,دختر,روستا,4796,1813,2983,1390,24,24
778,IR.BK,17,دختر,روستا,5850,2098,3752,1390,5,05
779,IR.BS,17,دختر,روستا,2494,1421,1073,1390,18,18
780,IR.CM,17,دختر,روستا,4177,1984,2193,1390,14,14
781,IR.EA,17,دختر,روستا,10369,3105,7264,1390,3,03
782,IR.ES,17,دختر,روستا,5610,3133,2477,1390,10,10
783,IR.FA,17,دختر,روستا,13404,7740,5664,1390,7,07
784,IR.GI,17,دختر,روستا,8170,4226,3944,1390,1,01
785,IR.GO,17,دختر,روستا,8560,2743,5817,1390,27,27
786,IR.HD,17,دختر,روستا,6964,2064,4900,1390,13,13
787,IR.HG,17,دختر,روستا,8772,4234,4538,1390,22,22
788,IR.IL,17,دختر,روستا,2147,1140,1007,1390,16,16
789,IR.KB,17,دختر,روستا,3428,1788,1640,1390,17,17
790,IR.KD,17,دختر,روستا,5608,1117,4491,1390,12,12
791,IR.KE,17,دختر,روستا,12873,6678,6195,1390,8,08
792,IR.KJ,17,دختر,روستا,2742,949,1793,1390,29,29
793,IR.KS,17,دختر,روستا,4509,1504,3005,1390,28,28
794,IR.KV,17,دختر,روستا,16620,4790,11830,1390,9,09
795,IR.KZ,17,دختر,روستا,14900,5639,9261,1390,6,06
796,IR.LO,17,دختر,روستا,7308,3060,4248,1390,15,15
797,IR.MK,17,دختر,روستا,3165,1115,2050,1390,0,00
798,IR.MN,17,دختر,روستا,10323,6343,3980,1390,2,02
799,IR.QM,17,دختر,روستا,425,188,237,1390,25,25
800,IR.QZ,17,دختر,روستا,2972,1050,1922,1390,26,26
801,IR.SB,17,دختر,روستا,14627,3960,10667,1390,11,11
802,IR.SM,17,دختر,روستا,1234,635,599,1390,20,20
803,IR.TH,17,دختر,روستا,7593,3952,3641,1390,23,23
804,IR.WA,17,دختر,روستا,12340,3080,9260,1390,4,04
805,IR.YA,17,دختر,روستا,1350,753,597,1390,21,21
806,IR.ZA,17,دختر,روستا,4138,1247,2891,1390,19,19
807,IR.AL,18,دختر,روستا,1929,696,1233,1390,30,30
808,IR.AR,18,دختر,روستا,5020,1103,3917,1390,24,24
809,IR.BK,18,دختر,روستا,6021,1305,4716,1390,5,05
810,IR.BS,18,دختر,روستا,2857,1046,1811,1390,18,18
811,IR.CM,18,دختر,روستا,4517,1347,3170,1390,14,14
812,IR.EA,18,دختر,روستا,10747,1983,8764,1390,3,03
813,IR.ES,18,دختر,روستا,5991,2191,3800,1390,10,10
814,IR.FA,18,دختر,روستا,14171,4629,9542,1390,7,07
815,IR.GI,18,دختر,روستا,8915,2976,5939,1390,1,01
816,IR.GO,18,دختر,روستا,8978,1770,7208,1390,27,27
817,IR.HD,18,دختر,روستا,7240,1333,5907,1390,13,13
818,IR.HG,18,دختر,روستا,9096,2579,6517,1390,22,22
819,IR.IL,18,دختر,روستا,2151,701,1450,1390,16,16
820,IR.KB,18,دختر,روستا,3639,1270,2369,1390,17,17
821,IR.KD,18,دختر,روستا,5818,629,5189,1390,12,12
822,IR.KE,18,دختر,روستا,13429,4578,8851,1390,8,08
823,IR.KJ,18,دختر,روستا,2950,660,2290,1390,29,29
824,IR.KS,18,دختر,روستا,4662,931,3731,1390,28,28
825,IR.KV,18,دختر,روستا,17235,2892,14343,1390,9,09
826,IR.KZ,18,دختر,روستا,15684,3758,11926,1390,6,06
827,IR.LO,18,دختر,روستا,7505,1937,5568,1390,15,15
828,IR.MK,18,دختر,روستا,3253,756,2497,1390,0,00
829,IR.MN,18,دختر,روستا,11440,5013,6427,1390,2,02
830,IR.QM,18,دختر,روستا,470,136,334,1390,25,25
831,IR.QZ,18,دختر,روستا,3220,730,2490,1390,26,26
832,IR.SB,18,دختر,روستا,14670,2698,11972,1390,11,11
