"","age","sex","settlement","year","province","populationtotal","populationnoted","populationed"
"1","10 ساله","پسر","روستا",1390,"آذربايجان شرقي",9093,416,8677
"2","11 ساله","پسر","روستا",1390,"آذربايجان شرقي",8776,545,8231
"3","12 ساله","پسر","روستا",1390,"آذربايجان شرقي",8891,734,8157
"4","13 ساله","پسر","روستا",1390,"آذربايجان شرقي",8819,929,7890
"5","14 ساله","پسر","روستا",1390,"آذربايجان شرقي",8774,1528,7246
"6","15 ساله","پسر","روستا",1390,"آذربايجان شرقي",9468,2455,7013
"7","16 ساله","پسر","روستا",1390,"آذربايجان شرقي",10215,3685,6530
"8","17 ساله","پسر","روستا",1390,"آذربايجان شرقي",11220,6134,5086
"9","18 ساله","پسر","روستا",1390,"آذربايجان شرقي",12533,8811,3722
"10","19 ساله","پسر","روستا",1390,"آذربايجان شرقي",12307,9572,2735
"11","6 ساله","پسر","روستا",1390,"آذربايجان شرقي",9660,2311,7349
"12","7 ساله","پسر","روستا",1390,"آذربايجان شرقي",9418,518,8900
"13","8 ساله","پسر","روستا",1390,"آذربايجان شرقي",9253,472,8781
"14","9 ساله","پسر","روستا",1390,"آذربايجان شرقي",9325,430,8895
"15","10 ساله","دختر","روستا",1390,"آذربايجان شرقي",8747,517,8230
"16","11 ساله","دختر","روستا",1390,"آذربايجان شرقي",8304,968,7336
"17","12 ساله","دختر","روستا",1390,"آذربايجان شرقي",8501,1414,7087
"18","13 ساله","دختر","روستا",1390,"آذربايجان شرقي",8412,2023,6389
"19","14 ساله","دختر","روستا",1390,"آذربايجان شرقي",8424,3283,5141
"20","15 ساله","دختر","روستا",1390,"آذربايجان شرقي",8820,4389,4431
"21","16 ساله","دختر","روستا",1390,"آذربايجان شرقي",9575,5427,4148
"22","17 ساله","دختر","روستا",1390,"آذربايجان شرقي",10369,7264,3105
"23","18 ساله","دختر","روستا",1390,"آذربايجان شرقي",10747,8764,1983
"24","19 ساله","دختر","روستا",1390,"آذربايجان شرقي",10631,8904,1727
"25","6 ساله","دختر","روستا",1390,"آذربايجان شرقي",9084,2138,6946
"26","7 ساله","دختر","روستا",1390,"آذربايجان شرقي",8781,496,8285
"27","8 ساله","دختر","روستا",1390,"آذربايجان شرقي",8841,420,8421
"28","9 ساله","دختر","روستا",1390,"آذربايجان شرقي",8864,473,8391
"29","10 ساله","پسر","شهر",1390,"آذربايجان شرقي",18933,581,18352
"30","11 ساله","پسر","شهر",1390,"آذربايجان شرقي",18135,506,17629
"31","12 ساله","پسر","شهر",1390,"آذربايجان شرقي",18087,504,17583
"32","13 ساله","پسر","شهر",1390,"آذربايجان شرقي",18080,605,17475
"33","14 ساله","پسر","شهر",1390,"آذربايجان شرقي",17806,929,16877
"34","15 ساله","پسر","شهر",1390,"آذربايجان شرقي",18063,1529,16534
"35","16 ساله","پسر","شهر",1390,"آذربايجان شرقي",18784,2508,16276
"36","17 ساله","پسر","شهر",1390,"آذربايجان شرقي",19580,5335,14245
"37","18 ساله","پسر","شهر",1390,"آذربايجان شرقي",20882,8760,12122
"38","19 ساله","پسر","شهر",1390,"آذربايجان شرقي",22627,10205,12422
"39","6 ساله","پسر","شهر",1390,"آذربايجان شرقي",17961,3851,14110
"40","7 ساله","پسر","شهر",1390,"آذربايجان شرقي",17311,681,16630
"41","8 ساله","پسر","شهر",1390,"آذربايجان شرقي",17156,591,16565
"42","9 ساله","پسر","شهر",1390,"آذربايجان شرقي",17290,573,16717
"43","10 ساله","دختر","شهر",1390,"آذربايجان شرقي",18178,534,17644
"44","11 ساله","دختر","شهر",1390,"آذربايجان شرقي",17246,499,16747
"45","12 ساله","دختر","شهر",1390,"آذربايجان شرقي",17260,528,16732
"46","13 ساله","دختر","شهر",1390,"آذربايجان شرقي",17234,713,16521
"47","14 ساله","دختر","شهر",1390,"آذربايجان شرقي",17270,1154,16116
"48","15 ساله","دختر","شهر",1390,"آذربايجان شرقي",17020,2031,14989
"49","16 ساله","دختر","شهر",1390,"آذربايجان شرقي",17890,3117,14773
"50","17 ساله","دختر","شهر",1390,"آذربايجان شرقي",19517,6341,13176
"51","18 ساله","دختر","شهر",1390,"آذربايجان شرقي",20673,10678,9995
"52","19 ساله","دختر","شهر",1390,"آذربايجان شرقي",21850,11179,10671
"53","6 ساله","دختر","شهر",1390,"آذربايجان شرقي",17108,3537,13571
"54","7 ساله","دختر","شهر",1390,"آذربايجان شرقي",16162,631,15531
"55","8 ساله","دختر","شهر",1390,"آذربايجان شرقي",16686,495,16191
"56","9 ساله","دختر","شهر",1390,"آذربايجان شرقي",16581,468,16113
"57","10 ساله","پسر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"58","11 ساله","پسر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"59","12 ساله","پسر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"60","13 ساله","پسر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"61","14 ساله","پسر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"62","15 ساله","پسر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"63","16 ساله","پسر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"64","17 ساله","پسر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"65","18 ساله","پسر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"66","19 ساله","پسر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"67","6 ساله","پسر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"68","7 ساله","پسر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"69","8 ساله","پسر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"70","9 ساله","پسر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"71","10 ساله","دختر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"72","11 ساله","دختر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"73","12 ساله","دختر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"74","13 ساله","دختر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"75","14 ساله","دختر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"76","15 ساله","دختر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"77","16 ساله","دختر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"78","17 ساله","دختر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"79","18 ساله","دختر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"80","19 ساله","دختر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"81","6 ساله","دختر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"82","7 ساله","دختر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"83","8 ساله","دختر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"84","9 ساله","دختر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"85","10 ساله","پسر","روستا",1390,"آذربايجان غربي",9766,505,9261
"86","11 ساله","پسر","روستا",1390,"آذربايجان غربي",9629,685,8944
"87","12 ساله","پسر","روستا",1390,"آذربايجان غربي",9721,1014,8707
"88","13 ساله","پسر","روستا",1390,"آذربايجان غربي",10179,1504,8675
"89","14 ساله","پسر","روستا",1390,"آذربايجان غربي",10595,2240,8355
"90","15 ساله","پسر","روستا",1390,"آذربايجان غربي",10739,3347,7392
"91","16 ساله","پسر","روستا",1390,"آذربايجان غربي",11818,5035,6783
"92","17 ساله","پسر","روستا",1390,"آذربايجان غربي",12662,7152,5510
"93","18 ساله","پسر","روستا",1390,"آذربايجان غربي",13856,9765,4091
"94","19 ساله","پسر","روستا",1390,"آذربايجان غربي",13834,10496,3338
"95","6 ساله","پسر","روستا",1390,"آذربايجان غربي",10776,2593,8183
"96","7 ساله","پسر","روستا",1390,"آذربايجان غربي",10575,575,10000
"97","8 ساله","پسر","روستا",1390,"آذربايجان غربي",9945,489,9456
"98","9 ساله","پسر","روستا",1390,"آذربايجان غربي",10060,528,9532
"99","10 ساله","دختر","روستا",1390,"آذربايجان غربي",9414,805,8609
"100","11 ساله","دختر","روستا",1390,"آذربايجان غربي",9179,1609,7570
"101","12 ساله","دختر","روستا",1390,"آذربايجان غربي",9571,2660,6911
"102","13 ساله","دختر","روستا",1390,"آذربايجان غربي",9990,3780,6210
"103","14 ساله","دختر","روستا",1390,"آذربايجان غربي",10019,4800,5219
"104","15 ساله","دختر","روستا",1390,"آذربايجان غربي",10166,6002,4164
"105","16 ساله","دختر","روستا",1390,"آذربايجان غربي",11596,7605,3991
"106","17 ساله","دختر","روستا",1390,"آذربايجان غربي",12340,9260,3080
"107","18 ساله","دختر","روستا",1390,"آذربايجان غربي",12847,10796,2051
"108","19 ساله","دختر","روستا",1390,"آذربايجان غربي",13118,11227,1891
"109","6 ساله","دختر","روستا",1390,"آذربايجان غربي",10162,2619,7543
"110","7 ساله","دختر","روستا",1390,"آذربايجان غربي",9837,607,9230
"111","8 ساله","دختر","روستا",1390,"آذربايجان غربي",9438,599,8839
"112","9 ساله","دختر","روستا",1390,"آذربايجان غربي",9701,664,9037
"113","10 ساله","پسر","شهر",1390,"آذربايجان غربي",16039,571,15468
"114","11 ساله","پسر","شهر",1390,"آذربايجان غربي",15448,492,14956
"115","12 ساله","پسر","شهر",1390,"آذربايجان غربي",15827,590,15237
"116","13 ساله","پسر","شهر",1390,"آذربايجان غربي",15812,799,15013
"117","14 ساله","پسر","شهر",1390,"آذربايجان غربي",16038,1160,14878
"118","15 ساله","پسر","شهر",1390,"آذربايجان غربي",15533,1910,13623
"119","16 ساله","پسر","شهر",1390,"آذربايجان غربي",16900,3157,13743
"120","17 ساله","پسر","شهر",1390,"آذربايجان غربي",17942,5584,12358
"121","18 ساله","پسر","شهر",1390,"آذربايجان غربي",18995,8671,10324
"122","19 ساله","پسر","شهر",1390,"آذربايجان غربي",19268,9638,9630
"123","6 ساله","پسر","شهر",1390,"آذربايجان غربي",15506,3431,12075
"124","7 ساله","پسر","شهر",1390,"آذربايجان غربي",14921,593,14328
"125","8 ساله","پسر","شهر",1390,"آذربايجان غربي",15009,500,14509
"126","9 ساله","پسر","شهر",1390,"آذربايجان غربي",14881,507,14374
"127","10 ساله","دختر","شهر",1390,"آذربايجان غربي",15473,622,14851
"128","11 ساله","دختر","شهر",1390,"آذربايجان غربي",14717,601,14116
"129","12 ساله","دختر","شهر",1390,"آذربايجان غربي",15089,883,14206
"130","13 ساله","دختر","شهر",1390,"آذربايجان غربي",15223,1167,14056
"131","14 ساله","دختر","شهر",1390,"آذربايجان غربي",15674,2015,13659
"132","15 ساله","دختر","شهر",1390,"آذربايجان غربي",14831,2873,11958
"133","16 ساله","دختر","شهر",1390,"آذربايجان غربي",16317,4277,12040
"134","17 ساله","دختر","شهر",1390,"آذربايجان غربي",17574,6791,10783
"135","18 ساله","دختر","شهر",1390,"آذربايجان غربي",18619,10528,8091
"136","19 ساله","دختر","شهر",1390,"آذربايجان غربي",19570,11163,8407
"137","6 ساله","دختر","شهر",1390,"آذربايجان غربي",14839,3346,11493
"138","7 ساله","دختر","شهر",1390,"آذربايجان غربي",13790,526,13264
"139","8 ساله","دختر","شهر",1390,"آذربايجان غربي",13996,472,13524
"140","9 ساله","دختر","شهر",1390,"آذربايجان غربي",14036,469,13567
"141","10 ساله","پسر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"142","11 ساله","پسر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"143","12 ساله","پسر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"144","13 ساله","پسر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"145","14 ساله","پسر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"146","15 ساله","پسر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"147","16 ساله","پسر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"148","17 ساله","پسر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"149","18 ساله","پسر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"150","19 ساله","پسر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"151","6 ساله","پسر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"152","7 ساله","پسر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"153","8 ساله","پسر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"154","9 ساله","پسر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"155","10 ساله","دختر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"156","11 ساله","دختر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"157","12 ساله","دختر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"158","13 ساله","دختر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"159","14 ساله","دختر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"160","15 ساله","دختر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"161","16 ساله","دختر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"162","17 ساله","دختر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"163","18 ساله","دختر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"164","19 ساله","دختر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"165","6 ساله","دختر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"166","7 ساله","دختر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"167","8 ساله","دختر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"168","9 ساله","دختر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"169","10 ساله","پسر","روستا",1390,"اردبيل",3389,121,3268
"170","11 ساله","پسر","روستا",1390,"اردبيل",3347,187,3160
"171","12 ساله","پسر","روستا",1390,"اردبيل",3645,226,3419
"172","13 ساله","پسر","روستا",1390,"اردبيل",3879,419,3460
"173","14 ساله","پسر","روستا",1390,"اردبيل",3932,684,3248
"174","15 ساله","پسر","روستا",1390,"اردبيل",4261,1142,3119
"175","16 ساله","پسر","روستا",1390,"اردبيل",4844,1733,3111
"176","17 ساله","پسر","روستا",1390,"اردبيل",5390,3000,2390
"177","18 ساله","پسر","روستا",1390,"اردبيل",5708,4090,1618
"178","19 ساله","پسر","روستا",1390,"اردبيل",5190,3889,1301
"179","6 ساله","پسر","روستا",1390,"اردبيل",3474,734,2740
"180","7 ساله","پسر","روستا",1390,"اردبيل",3402,125,3277
"181","8 ساله","پسر","روستا",1390,"اردبيل",3227,135,3092
"182","9 ساله","پسر","روستا",1390,"اردبيل",3289,120,3169
"183","10 ساله","دختر","روستا",1390,"اردبيل",3421,141,3280
"184","11 ساله","دختر","روستا",1390,"اردبيل",3229,283,2946
"185","12 ساله","دختر","روستا",1390,"اردبيل",3468,504,2964
"186","13 ساله","دختر","روستا",1390,"اردبيل",3554,798,2756
"187","14 ساله","دختر","روستا",1390,"اردبيل",3835,1330,2505
"188","15 ساله","دختر","روستا",1390,"اردبيل",3980,1753,2227
"189","16 ساله","دختر","روستا",1390,"اردبيل",4484,2297,2187
"190","17 ساله","دختر","روستا",1390,"اردبيل",4796,2983,1813
"191","18 ساله","دختر","روستا",1390,"اردبيل",5020,3917,1103
"192","19 ساله","دختر","روستا",1390,"اردبيل",4750,3872,878
"193","6 ساله","دختر","روستا",1390,"اردبيل",3221,688,2533
"194","7 ساله","دختر","روستا",1390,"اردبيل",3124,110,3014
"195","8 ساله","دختر","روستا",1390,"اردبيل",3093,98,2995
"196","9 ساله","دختر","روستا",1390,"اردبيل",3241,134,3107
"197","10 ساله","پسر","شهر",1390,"اردبيل",5997,130,5867
"198","11 ساله","پسر","شهر",1390,"اردبيل",5891,122,5769
"199","12 ساله","پسر","شهر",1390,"اردبيل",6117,177,5940
"200","13 ساله","پسر","شهر",1390,"اردبيل",6205,243,5962
"201","14 ساله","پسر","شهر",1390,"اردبيل",6540,407,6133
"202","15 ساله","پسر","شهر",1390,"اردبيل",6533,669,5864
"203","16 ساله","پسر","شهر",1390,"اردبيل",7311,1064,6247
"204","17 ساله","پسر","شهر",1390,"اردبيل",7462,2320,5142
"205","18 ساله","پسر","شهر",1390,"اردبيل",7833,3643,4190
"206","19 ساله","پسر","شهر",1390,"اردبيل",7668,3779,3889
"207","6 ساله","پسر","شهر",1390,"اردبيل",6144,1147,4997
"208","7 ساله","پسر","شهر",1390,"اردبيل",5957,157,5800
"209","8 ساله","پسر","شهر",1390,"اردبيل",5934,150,5784
"210","9 ساله","پسر","شهر",1390,"اردبيل",5815,149,5666
"211","10 ساله","دختر","شهر",1390,"اردبيل",5770,115,5655
"212","11 ساله","دختر","شهر",1390,"اردبيل",5820,135,5685
"213","12 ساله","دختر","شهر",1390,"اردبيل",6028,157,5871
"214","13 ساله","دختر","شهر",1390,"اردبيل",5981,227,5754
"215","14 ساله","دختر","شهر",1390,"اردبيل",6348,448,5900
"216","15 ساله","دختر","شهر",1390,"اردبيل",6495,859,5636
"217","16 ساله","دختر","شهر",1390,"اردبيل",7189,1321,5868
"218","17 ساله","دختر","شهر",1390,"اردبيل",7286,2346,4940
"219","18 ساله","دختر","شهر",1390,"اردبيل",7861,4303,3558
"220","19 ساله","دختر","شهر",1390,"اردبيل",7968,4402,3566
"221","6 ساله","دختر","شهر",1390,"اردبيل",5815,1045,4770
"222","7 ساله","دختر","شهر",1390,"اردبيل",5616,154,5462
"223","8 ساله","دختر","شهر",1390,"اردبيل",5587,116,5471
"224","9 ساله","دختر","شهر",1390,"اردبيل",5544,92,5452
"225","10 ساله","پسر","غیرساکن",1390,"اردبيل",0,0,0
"226","11 ساله","پسر","غیرساکن",1390,"اردبيل",0,0,0
"227","12 ساله","پسر","غیرساکن",1390,"اردبيل",0,0,0
"228","13 ساله","پسر","غیرساکن",1390,"اردبيل",0,0,0
"229","14 ساله","پسر","غیرساکن",1390,"اردبيل",0,0,0
"230","15 ساله","پسر","غیرساکن",1390,"اردبيل",0,0,0
"231","16 ساله","پسر","غیرساکن",1390,"اردبيل",0,0,0
"232","17 ساله","پسر","غیرساکن",1390,"اردبيل",0,0,0
"233","18 ساله","پسر","غیرساکن",1390,"اردبيل",0,0,0
"234","19 ساله","پسر","غیرساکن",1390,"اردبيل",0,0,0
"235","6 ساله","پسر","غیرساکن",1390,"اردبيل",0,0,0
"236","7 ساله","پسر","غیرساکن",1390,"اردبيل",0,0,0
"237","8 ساله","پسر","غیرساکن",1390,"اردبيل",0,0,0
"238","9 ساله","پسر","غیرساکن",1390,"اردبيل",0,0,0
"239","10 ساله","دختر","غیرساکن",1390,"اردبيل",0,0,0
"240","11 ساله","دختر","غیرساکن",1390,"اردبيل",0,0,0
"241","12 ساله","دختر","غیرساکن",1390,"اردبيل",0,0,0
"242","13 ساله","دختر","غیرساکن",1390,"اردبيل",0,0,0
"243","14 ساله","دختر","غیرساکن",1390,"اردبيل",0,0,0
"244","15 ساله","دختر","غیرساکن",1390,"اردبيل",0,0,0
"245","16 ساله","دختر","غیرساکن",1390,"اردبيل",0,0,0
"246","17 ساله","دختر","غیرساکن",1390,"اردبيل",0,0,0
"247","18 ساله","دختر","غیرساکن",1390,"اردبيل",0,0,0
"248","19 ساله","دختر","غیرساکن",1390,"اردبيل",0,0,0
"249","6 ساله","دختر","غیرساکن",1390,"اردبيل",0,0,0
"250","7 ساله","دختر","غیرساکن",1390,"اردبيل",0,0,0
"251","8 ساله","دختر","غیرساکن",1390,"اردبيل",0,0,0
"252","9 ساله","دختر","غیرساکن",1390,"اردبيل",0,0,0
"253","10 ساله","پسر","روستا",1390,"اصفهان",5000,286,4714
"254","11 ساله","پسر","روستا",1390,"اصفهان",4974,304,4670
"255","12 ساله","پسر","روستا",1390,"اصفهان",5006,324,4682
"256","13 ساله","پسر","روستا",1390,"اصفهان",5020,387,4633
"257","14 ساله","پسر","روستا",1390,"اصفهان",4817,557,4260
"258","15 ساله","پسر","روستا",1390,"اصفهان",4992,945,4047
"259","16 ساله","پسر","روستا",1390,"اصفهان",5445,1400,4045
"260","17 ساله","پسر","روستا",1390,"اصفهان",5778,2685,3093
"261","18 ساله","پسر","روستا",1390,"اصفهان",6676,4435,2241
"262","19 ساله","پسر","روستا",1390,"اصفهان",7115,5234,1881
"263","6 ساله","پسر","روستا",1390,"اصفهان",5652,1468,4184
"264","7 ساله","پسر","روستا",1390,"اصفهان",5137,386,4751
"265","8 ساله","پسر","روستا",1390,"اصفهان",5077,343,4734
"266","9 ساله","پسر","روستا",1390,"اصفهان",4832,321,4511
"267","10 ساله","دختر","روستا",1390,"اصفهان",4712,298,4414
"268","11 ساله","دختر","روستا",1390,"اصفهان",4745,345,4400
"269","12 ساله","دختر","روستا",1390,"اصفهان",4856,365,4491
"270","13 ساله","دختر","روستا",1390,"اصفهان",4830,427,4403
"271","14 ساله","دختر","روستا",1390,"اصفهان",4813,673,4140
"272","15 ساله","دختر","روستا",1390,"اصفهان",4760,974,3786
"273","16 ساله","دختر","روستا",1390,"اصفهان",5303,1376,3927
"274","17 ساله","دختر","روستا",1390,"اصفهان",5610,2477,3133
"275","18 ساله","دختر","روستا",1390,"اصفهان",5991,3800,2191
"276","19 ساله","دختر","روستا",1390,"اصفهان",6318,4378,1940
"277","6 ساله","دختر","روستا",1390,"اصفهان",5189,1365,3824
"278","7 ساله","دختر","روستا",1390,"اصفهان",4793,389,4404
"279","8 ساله","دختر","روستا",1390,"اصفهان",4787,345,4442
"280","9 ساله","دختر","روستا",1390,"اصفهان",4604,294,4310
"281","10 ساله","پسر","شهر",1390,"اصفهان",29867,964,28903
"282","11 ساله","پسر","شهر",1390,"اصفهان",29358,1003,28355
"283","12 ساله","پسر","شهر",1390,"اصفهان",29605,1108,28497
"284","13 ساله","پسر","شهر",1390,"اصفهان",28864,1296,27568
"285","14 ساله","پسر","شهر",1390,"اصفهان",28821,1805,27016
"286","15 ساله","پسر","شهر",1390,"اصفهان",28774,3188,25586
"287","16 ساله","پسر","شهر",1390,"اصفهان",30161,4803,25358
"288","17 ساله","پسر","شهر",1390,"اصفهان",32199,9373,22826
"289","18 ساله","پسر","شهر",1390,"اصفهان",34318,14500,19818
"290","19 ساله","پسر","شهر",1390,"اصفهان",35473,16467,19006
"291","6 ساله","پسر","شهر",1390,"اصفهان",29292,6989,22303
"292","7 ساله","پسر","شهر",1390,"اصفهان",27214,1378,25836
"293","8 ساله","پسر","شهر",1390,"اصفهان",27827,1104,26723
"294","9 ساله","پسر","شهر",1390,"اصفهان",27558,924,26634
"295","10 ساله","دختر","شهر",1390,"اصفهان",28498,958,27540
"296","11 ساله","دختر","شهر",1390,"اصفهان",28368,972,27396
"297","12 ساله","دختر","شهر",1390,"اصفهان",28284,1076,27208
"298","13 ساله","دختر","شهر",1390,"اصفهان",28009,1202,26807
"299","14 ساله","دختر","شهر",1390,"اصفهان",27861,1642,26219
"300","15 ساله","دختر","شهر",1390,"اصفهان",27717,2646,25071
"301","16 ساله","دختر","شهر",1390,"اصفهان",29027,3607,25420
"302","17 ساله","دختر","شهر",1390,"اصفهان",30905,8118,22787
"303","18 ساله","دختر","شهر",1390,"اصفهان",33623,14762,18861
"304","19 ساله","دختر","شهر",1390,"اصفهان",36716,16185,20531
"305","6 ساله","دختر","شهر",1390,"اصفهان",28128,6631,21497
"306","7 ساله","دختر","شهر",1390,"اصفهان",25811,1279,24532
"307","8 ساله","دختر","شهر",1390,"اصفهان",26511,1116,25395
"308","9 ساله","دختر","شهر",1390,"اصفهان",26080,899,25181
"309","10 ساله","پسر","غیرساکن",1390,"اصفهان",0,0,0
"310","11 ساله","پسر","غیرساکن",1390,"اصفهان",1,0,1
"311","12 ساله","پسر","غیرساکن",1390,"اصفهان",0,0,0
"312","13 ساله","پسر","غیرساکن",1390,"اصفهان",0,0,0
"313","14 ساله","پسر","غیرساکن",1390,"اصفهان",2,1,1
"314","15 ساله","پسر","غیرساکن",1390,"اصفهان",0,0,0
"315","16 ساله","پسر","غیرساکن",1390,"اصفهان",1,1,0
"316","17 ساله","پسر","غیرساکن",1390,"اصفهان",0,0,0
"317","18 ساله","پسر","غیرساکن",1390,"اصفهان",1,1,0
"318","19 ساله","پسر","غیرساکن",1390,"اصفهان",2,2,0
"319","6 ساله","پسر","غیرساکن",1390,"اصفهان",1,1,0
"320","7 ساله","پسر","غیرساکن",1390,"اصفهان",0,0,0
"321","8 ساله","پسر","غیرساکن",1390,"اصفهان",0,0,0
"322","9 ساله","پسر","غیرساکن",1390,"اصفهان",0,0,0
"323","10 ساله","دختر","غیرساکن",1390,"اصفهان",0,0,0
"324","11 ساله","دختر","غیرساکن",1390,"اصفهان",0,0,0
"325","12 ساله","دختر","غیرساکن",1390,"اصفهان",0,0,0
"326","13 ساله","دختر","غیرساکن",1390,"اصفهان",0,0,0
"327","14 ساله","دختر","غیرساکن",1390,"اصفهان",2,2,0
"328","15 ساله","دختر","غیرساکن",1390,"اصفهان",0,0,0
"329","16 ساله","دختر","غیرساکن",1390,"اصفهان",0,0,0
"330","17 ساله","دختر","غیرساکن",1390,"اصفهان",0,0,0
"331","18 ساله","دختر","غیرساکن",1390,"اصفهان",0,0,0
"332","19 ساله","دختر","غیرساکن",1390,"اصفهان",2,2,0
"333","6 ساله","دختر","غیرساکن",1390,"اصفهان",0,0,0
"334","7 ساله","دختر","غیرساکن",1390,"اصفهان",0,0,0
"335","8 ساله","دختر","غیرساکن",1390,"اصفهان",0,0,0
"336","9 ساله","دختر","غیرساکن",1390,"اصفهان",1,0,1
"337","10 ساله","پسر","روستا",1390,"البرز",1849,171,1678
"338","11 ساله","پسر","روستا",1390,"البرز",1695,136,1559
"339","12 ساله","پسر","روستا",1390,"البرز",1853,199,1654
"340","13 ساله","پسر","روستا",1390,"البرز",1893,238,1655
"341","14 ساله","پسر","روستا",1390,"البرز",1830,239,1591
"342","15 ساله","پسر","روستا",1390,"البرز",1921,343,1578
"343","16 ساله","پسر","روستا",1390,"البرز",1937,507,1430
"344","17 ساله","پسر","روستا",1390,"البرز",1996,880,1116
"345","18 ساله","پسر","روستا",1390,"البرز",2191,1289,902
"346","19 ساله","پسر","روستا",1390,"البرز",2077,1375,702
"347","6 ساله","پسر","روستا",1390,"البرز",1914,645,1269
"348","7 ساله","پسر","روستا",1390,"البرز",1874,225,1649
"349","8 ساله","پسر","روستا",1390,"البرز",1783,176,1607
"350","9 ساله","پسر","روستا",1390,"البرز",1729,150,1579
"351","10 ساله","دختر","روستا",1390,"البرز",1624,140,1484
"352","11 ساله","دختر","روستا",1390,"البرز",1638,174,1464
"353","12 ساله","دختر","روستا",1390,"البرز",1645,157,1488
"354","13 ساله","دختر","روستا",1390,"البرز",1762,201,1561
"355","14 ساله","دختر","روستا",1390,"البرز",1728,292,1436
"356","15 ساله","دختر","روستا",1390,"البرز",1765,404,1361
"357","16 ساله","دختر","روستا",1390,"البرز",1806,529,1277
"358","17 ساله","دختر","روستا",1390,"البرز",1871,817,1054
"359","18 ساله","دختر","روستا",1390,"البرز",1929,1233,696
"360","19 ساله","دختر","روستا",1390,"البرز",2038,1320,718
"361","6 ساله","دختر","روستا",1390,"البرز",1792,599,1193
"362","7 ساله","دختر","روستا",1390,"البرز",1700,223,1477
"363","8 ساله","دختر","روستا",1390,"البرز",1695,184,1511
"364","9 ساله","دختر","روستا",1390,"البرز",1667,162,1505
"365","10 ساله","پسر","شهر",1390,"البرز",15509,537,14972
"366","11 ساله","پسر","شهر",1390,"البرز",14846,491,14355
"367","12 ساله","پسر","شهر",1390,"البرز",14780,528,14252
"368","13 ساله","پسر","شهر",1390,"البرز",14878,610,14268
"369","14 ساله","پسر","شهر",1390,"البرز",14829,854,13975
"370","15 ساله","پسر","شهر",1390,"البرز",14605,1352,13253
"371","16 ساله","پسر","شهر",1390,"البرز",15513,2259,13254
"372","17 ساله","پسر","شهر",1390,"البرز",16214,4606,11608
