,Code,age,sex,settlement,population.total,population.ed,population.not.ed,year,addressCod,addressCode,Pername
235,IR.KS,13,پسر,روستا,3977,3551,426,1390,28,28,خراسان شمالی
236,IR.KV,13,پسر,روستا,14959,13144,1815,1390,9,09,خراسان رضوی
237,IR.KZ,13,پسر,روستا,12647,10978,1669,1390,6,06,خوزستان
238,IR.LO,13,پسر,روستا,5556,4877,679,1390,15,15,لرستان
239,IR.MK,13,پسر,روستا,2588,2253,335,1390,0,00,مرکزی
240,IR.MN,13,پسر,روستا,9241,8753,488,1390,2,02,مازندران
241,IR.QM,13,پسر,روستا,373,326,47,1390,25,25,قم
242,IR.QZ,13,پسر,روستا,2329,2119,210,1390,26,26,قزوین
243,IR.SB,13,پسر,روستا,15528,11582,3946,1390,11,11,سیستان و بلوچستان
244,IR.SM,13,پسر,روستا,1077,979,98,1390,20,20,سمنان
245,IR.TH,13,پسر,روستا,7414,6674,740,1390,23,23,تهران
246,IR.WA,13,پسر,روستا,10179,8675,1504,1390,4,04,آذربایجان غربی
247,IR.YA,13,پسر,روستا,1348,1201,147,1390,21,21,یزد
248,IR.ZA,13,پسر,روستا,2985,2716,269,1390,19,19,زنجان
249,IR.AL,14,پسر,روستا,1830,1591,239,1390,30,30,البرز
250,IR.AR,14,پسر,روستا,3932,3248,684,1390,24,24,اردبیل
251,IR.BK,14,پسر,روستا,4871,4237,634,1390,5,05,کرمانشاه
252,IR.BS,14,پسر,روستا,2157,2001,156,1390,18,18,بوشهر
253,IR.CM,14,پسر,روستا,3413,2989,424,1390,14,14,چهارمحال و بختیاری
254,IR.EA,14,پسر,روستا,8774,7246,1528,1390,3,03,آذربایجان شرقی
255,IR.ES,14,پسر,روستا,4817,4260,557,1390,10,10,اصفهان
256,IR.FA,14,پسر,روستا,10569,9437,1132,1390,7,07,فارس
257,IR.GI,14,پسر,روستا,7699,6820,879,1390,1,01,گیلان
258,IR.GO,14,پسر,روستا,7597,5996,1601,1390,27,27,گلستان
259,IR.HD,14,پسر,روستا,5950,5071,879,1390,13,13,همدان
260,IR.HG,14,پسر,روستا,8611,7433,1178,1390,22,22,هرمزگان
261,IR.IL,14,پسر,روستا,1590,1359,231,1390,16,16,ایلام
262,IR.KB,14,پسر,روستا,2697,2476,221,1390,17,17,کهگیلویه و بویراحمد
263,IR.KD,14,پسر,روستا,4367,3515,852,1390,12,12,کردستان
264,IR.KE,14,پسر,روستا,11888,9917,1971,1390,8,08,کرمان
265,IR.KJ,14,پسر,روستا,2214,1834,380,1390,29,29,خراسان جنوبی
266,IR.KS,14,پسر,روستا,4092,3291,801,1390,28,28,خراسان شمالی
267,IR.KV,14,پسر,روستا,15322,11853,3469,1390,9,09,خراسان رضوی
268,IR.KZ,14,پسر,روستا,13007,10529,2478,1390,6,06,خوزستان
269,IR.LO,14,پسر,روستا,6401,5381,1020,1390,15,15,لرستان
270,IR.MK,14,پسر,روستا,2835,2308,527,1390,0,00,مرکزی
271,IR.MN,14,پسر,روستا,9370,8519,851,1390,2,02,مازندران
272,IR.QM,14,پسر,روستا,420,336,84,1390,25,25,قم
273,IR.QZ,14,پسر,روستا,2562,2156,406,1390,26,26,قزوین
274,IR.SB,14,پسر,روستا,15552,10646,4906,1390,11,11,سیستان و بلوچستان
275,IR.SM,14,پسر,روستا,1024,880,144,1390,20,20,سمنان
276,IR.TH,14,پسر,روستا,7492,6387,1105,1390,23,23,تهران
277,IR.WA,14,پسر,روستا,10595,8355,2240,1390,4,04,آذربایجان غربی
278,IR.YA,14,پسر,روستا,1265,1114,151,1390,21,21,یزد
279,IR.ZA,14,پسر,روستا,3338,2853,485,1390,19,19,زنجان
280,IR.AL,15,پسر,روستا,1921,1578,343,1390,30,30,البرز
281,IR.AR,15,پسر,روستا,4261,3119,1142,1390,24,24,اردبیل
282,IR.BK,15,پسر,روستا,5352,4374,978,1390,5,05,کرمانشاه
283,IR.BS,15,پسر,روستا,2305,1992,313,1390,18,18,بوشهر
284,IR.CM,15,پسر,روستا,3451,2764,687,1390,14,14,چهارمحال و بختیاری
285,IR.EA,15,پسر,روستا,9468,7013,2455,1390,3,03,آذربایجان شرقی
286,IR.ES,15,پسر,روستا,4992,4047,945,1390,10,10,اصفهان
287,IR.FA,15,پسر,روستا,11477,9523,1954,1390,7,07,فارس
288,IR.GI,15,پسر,روستا,7817,6326,1491,1390,1,01,گیلان
289,IR.GO,15,پسر,روستا,8077,5434,2643,1390,27,27,گلستان
290,IR.HD,15,پسر,روستا,6444,4856,1588,1390,13,13,همدان
291,IR.HG,15,پسر,روستا,8550,6900,1650,1390,22,22,هرمزگان
292,IR.IL,15,پسر,روستا,1755,1416,339,1390,16,16,ایلام
293,IR.KB,15,پسر,روستا,2546,2209,337,1390,17,17,کهگیلویه و بویراحمد
294,IR.KD,15,پسر,روستا,4372,2945,1427,1390,12,12,کردستان
295,IR.KE,15,پسر,روستا,12888,10100,2788,1390,8,08,کرمان
296,IR.KJ,15,پسر,روستا,2346,1742,604,1390,29,29,خراسان جنوبی
297,IR.KS,15,پسر,روستا,4170,2787,1383,1390,28,28,خراسان شمالی
298,IR.KV,15,پسر,روستا,15211,9785,5426,1390,9,09,خراسان رضوی
299,IR.KZ,15,پسر,روستا,13696,10258,3438,1390,6,06,خوزستان
300,IR.LO,15,پسر,روستا,6914,5356,1558,1390,15,15,لرستان
301,IR.MK,15,پسر,روستا,3026,2175,851,1390,0,00,مرکزی
302,IR.MN,15,پسر,روستا,9531,8097,1434,1390,2,02,مازندران
303,IR.QM,15,پسر,روستا,423,295,128,1390,25,25,قم
304,IR.QZ,15,پسر,روستا,2692,2103,589,1390,26,26,قزوین
305,IR.SB,15,پسر,روستا,14749,9035,5714,1390,11,11,سیستان و بلوچستان
306,IR.SM,15,پسر,روستا,1024,829,195,1390,20,20,سمنان
307,IR.TH,15,پسر,روستا,7595,5867,1728,1390,23,23,تهران
308,IR.WA,15,پسر,روستا,10739,7392,3347,1390,4,04,آذربایجان غربی
309,IR.YA,15,پسر,روستا,1367,1051,316,1390,21,21,یزد
310,IR.ZA,15,پسر,روستا,3356,2451,905,1390,19,19,زنجان
311,IR.AL,16,پسر,روستا,1937,1430,507,1390,30,30,البرز
312,IR.AR,16,پسر,روستا,4844,3111,1733,1390,24,24,اردبیل
313,IR.BK,16,پسر,روستا,6133,4546,1587,1390,5,05,کرمانشاه
314,IR.BS,16,پسر,روستا,2508,2005,503,1390,18,18,بوشهر
315,IR.CM,16,پسر,روستا,3798,2684,1114,1390,14,14,چهارمحال و بختیاری
316,IR.EA,16,پسر,روستا,10215,6530,3685,1390,3,03,آذربایجان شرقی
317,IR.ES,16,پسر,روستا,5445,4045,1400,1390,10,10,اصفهان
318,IR.FA,16,پسر,روستا,12728,9723,3005,1390,7,07,فارس
319,IR.GI,16,پسر,روستا,8084,5928,2156,1390,1,01,گیلان
320,IR.GO,16,پسر,روستا,8868,5251,3617,1390,27,27,گلستان
321,IR.HD,16,پسر,روستا,6793,4496,2297,1390,13,13,همدان
322,IR.HG,16,پسر,روستا,8554,6168,2386,1390,22,22,هرمزگان
323,IR.IL,16,پسر,روستا,1980,1488,492,1390,16,16,ایلام
324,IR.KB,16,پسر,روستا,2845,2364,481,1390,17,17,کهگیلویه و بویراحمد
325,IR.KD,16,پسر,روستا,5234,3027,2207,1390,12,12,کردستان
326,IR.KE,16,پسر,روستا,12737,9169,3568,1390,8,08,کرمان
327,IR.KJ,16,پسر,روستا,2346,1523,823,1390,29,29,خراسان جنوبی
328,IR.KS,16,پسر,روستا,4290,2516,1774,1390,28,28,خراسان شمالی
329,IR.KV,16,پسر,روستا,16086,8652,7434,1390,9,09,خراسان رضوی
330,IR.KZ,16,پسر,روستا,15153,10059,5094,1390,6,06,خوزستان
331,IR.LO,16,پسر,روستا,7593,5424,2169,1390,15,15,لرستان
332,IR.MK,16,پسر,روستا,3329,2075,1254,1390,0,00,مرکزی
333,IR.MN,16,پسر,روستا,10201,8031,2170,1390,2,02,مازندران
334,IR.QM,16,پسر,روستا,472,285,187,1390,25,25,قم
335,IR.QZ,16,پسر,روستا,3016,2056,960,1390,26,26,قزوین
336,IR.SB,16,پسر,روستا,14279,7902,6377,1390,11,11,سیستان و بلوچستان
337,IR.SM,16,پسر,روستا,1117,818,299,1390,20,20,سمنان
338,IR.TH,16,پسر,روستا,7773,5335,2438,1390,23,23,تهران
339,IR.WA,16,پسر,روستا,11818,6783,5035,1390,4,04,آذربایجان غربی
340,IR.YA,16,پسر,روستا,1461,1033,428,1390,21,21,یزد
341,IR.ZA,16,پسر,روستا,3804,2477,1327,1390,19,19,زنجان
342,IR.AL,17,پسر,روستا,1996,1116,880,1390,30,30,البرز
343,IR.AR,17,پسر,روستا,5390,2390,3000,1390,24,24,اردبیل
344,IR.BK,17,پسر,روستا,6515,3708,2807,1390,5,05,کرمانشاه
345,IR.BS,17,پسر,روستا,2693,1720,973,1390,18,18,بوشهر
346,IR.CM,17,پسر,روستا,4223,2183,2040,1390,14,14,چهارمحال و بختیاری
347,IR.EA,17,پسر,روستا,11220,5086,6134,1390,3,03,آذربایجان شرقی
