,Code,age,sex,settlement,population.total,population.ed,population.not.ed,year,addressCod,addressCode,Pername
1,IR.AL,6,پسر,روستا,1914,1269,645,1390,30,30,البرز
2,IR.AR,6,پسر,روستا,3474,2740,734,1390,24,24,اردبیل
3,IR.BK,6,پسر,روستا,4583,3611,972,1390,5,05,کرمانشاه
4,IR.BS,6,پسر,روستا,2777,2103,674,1390,18,18,بوشهر
5,IR.CM,6,پسر,روستا,3431,2709,722,1390,14,14,چهارمحال و بختیاری
6,IR.EA,6,پسر,روستا,9660,7349,2311,1390,3,03,آذربایجان شرقی
7,IR.ES,6,پسر,روستا,5652,4184,1468,1390,10,10,اصفهان
8,IR.FA,6,پسر,روستا,12189,9281,2908,1390,7,07,فارس
9,IR.GI,6,پسر,روستا,6115,4775,1340,1390,1,01,گیلان
10,IR.GO,6,پسر,روستا,8450,6326,2124,1390,27,27,گلستان
11,IR.HD,6,پسر,روستا,5529,4319,1210,1390,13,13,همدان
12,IR.HG,6,پسر,روستا,7924,5817,2107,1390,22,22,هرمزگان
13,IR.IL,6,پسر,روستا,1533,1154,379,1390,16,16,ایلام
14,IR.KB,6,پسر,روستا,2916,2333,583,1390,17,17,کهگیلویه و بویراحمد
15,IR.KD,6,پسر,روستا,4036,3255,781,1390,12,12,کردستان
16,IR.KE,6,پسر,روستا,12166,8465,3701,1390,8,08,کرمان
17,IR.KJ,6,پسر,روستا,2703,2097,606,1390,29,29,خراسان جنوبی
18,IR.KS,6,پسر,روستا,4084,3173,911,1390,28,28,خراسان شمالی
19,IR.KV,6,پسر,روستا,16344,12337,4007,1390,9,09,خراسان رضوی
20,IR.KZ,6,پسر,روستا,12773,9330,3443,1390,6,06,خوزستان
21,IR.LO,6,پسر,روستا,5609,4394,1215,1390,15,15,لرستان
22,IR.MK,6,پسر,روستا,2582,1893,689,1390,0,00,مرکزی
23,IR.MN,6,پسر,روستا,9613,7430,2183,1390,2,02,مازندران
24,IR.QM,6,پسر,روستا,419,305,114,1390,25,25,قم
25,IR.QZ,6,پسر,روستا,2573,1873,700,1390,26,26,قزوین
26,IR.SB,6,پسر,روستا,17509,10795,6714,1390,11,11,سیستان و بلوچستان
27,IR.SM,6,پسر,روستا,1113,730,383,1390,20,20,سمنان
28,IR.TH,6,پسر,روستا,7547,5109,2438,1390,23,23,تهران
29,IR.WA,6,پسر,روستا,10776,8183,2593,1390,4,04,آذربایجان غربی
30,IR.YA,6,پسر,روستا,1356,990,366,1390,21,21,یزد
31,IR.ZA,6,پسر,روستا,3042,2443,599,1390,19,19,زنجان
32,IR.AL,7,پسر,روستا,1874,1649,225,1390,30,30,البرز
33,IR.AR,7,پسر,روستا,3402,3277,125,1390,24,24,اردبیل
34,IR.BK,7,پسر,روستا,4457,4248,209,1390,5,05,کرمانشاه
35,IR.BS,7,پسر,روستا,2591,2485,106,1390,18,18,بوشهر
36,IR.CM,7,پسر,روستا,3346,3163,183,1390,14,14,چهارمحال و بختیاری
37,IR.EA,7,پسر,روستا,9418,8900,518,1390,3,03,آذربایجان شرقی
38,IR.ES,7,پسر,روستا,5137,4751,386,1390,10,10,اصفهان
39,IR.FA,7,پسر,روستا,11580,10988,592,1390,7,07,فارس
40,IR.GI,7,پسر,روستا,5748,5487,261,1390,1,01,گیلان
41,IR.GO,7,پسر,روستا,7566,7205,361,1390,27,27,گلستان
42,IR.HD,7,پسر,روستا,5221,5003,218,1390,13,13,همدان
43,IR.HG,7,پسر,روستا,7698,7158,540,1390,22,22,هرمزگان
44,IR.IL,7,پسر,روستا,1447,1360,87,1390,16,16,ایلام
45,IR.KB,7,پسر,روستا,2742,2638,104,1390,17,17,کهگیلویه و بویراحمد
46,IR.KD,7,پسر,روستا,4395,4230,165,1390,12,12,کردستان
47,IR.KE,7,پسر,روستا,11365,10289,1076,1390,8,08,کرمان
48,IR.KJ,7,پسر,روستا,2670,2546,124,1390,29,29,خراسان جنوبی
49,IR.KS,7,پسر,روستا,3859,3694,165,1390,28,28,خراسان شمالی
50,IR.KV,7,پسر,روستا,15575,14703,872,1390,9,09,خراسان رضوی
51,IR.KZ,7,پسر,روستا,12458,11545,913,1390,6,06,خوزستان
52,IR.LO,7,پسر,روستا,5798,5435,363,1390,15,15,لرستان
53,IR.MK,7,پسر,روستا,2469,2249,220,1390,0,00,مرکزی
54,IR.MN,7,پسر,روستا,8941,8573,368,1390,2,02,مازندران
55,IR.QM,7,پسر,روستا,451,403,48,1390,25,25,قم
56,IR.QZ,7,پسر,روستا,2451,2271,180,1390,26,26,قزوین
57,IR.SB,7,پسر,روستا,16719,14025,2694,1390,11,11,سیستان و بلوچستان
58,IR.SM,7,پسر,روستا,1065,985,80,1390,20,20,سمنان
59,IR.TH,7,پسر,روستا,7398,6702,696,1390,23,23,تهران
60,IR.WA,7,پسر,روستا,10575,10000,575,1390,4,04,آذربایجان غربی
61,IR.YA,7,پسر,روستا,1399,1267,132,1390,21,21,یزد
62,IR.ZA,7,پسر,روستا,2836,2682,154,1390,19,19,زنجان
63,IR.AL,8,پسر,روستا,1783,1607,176,1390,30,30,البرز
64,IR.AR,8,پسر,روستا,3227,3092,135,1390,24,24,اردبیل
65,IR.BK,8,پسر,روستا,4177,3999,178,1390,5,05,کرمانشاه
66,IR.BS,8,پسر,روستا,2500,2399,101,1390,18,18,بوشهر
67,IR.CM,8,پسر,روستا,3243,3095,148,1390,14,14,چهارمحال و بختیاری
68,IR.EA,8,پسر,روستا,9253,8781,472,1390,3,03,آذربایجان شرقی
69,IR.ES,8,پسر,روستا,5077,4734,343,1390,10,10,اصفهان
70,IR.FA,8,پسر,روستا,11412,10897,515,1390,7,07,فارس
71,IR.GI,8,پسر,روستا,5970,5730,240,1390,1,01,گیلان
72,IR.GO,8,پسر,روستا,6901,6622,279,1390,27,27,گلستان
73,IR.HD,8,پسر,روستا,5147,4928,219,1390,13,13,همدان
74,IR.HG,8,پسر,روستا,7729,7252,477,1390,22,22,هرمزگان
75,IR.IL,8,پسر,روستا,1352,1269,83,1390,16,16,ایلام
76,IR.KB,8,پسر,روستا,2658,2560,98,1390,17,17,کهگیلویه و بویراحمد
77,IR.KD,8,پسر,روستا,4121,4002,119,1390,12,12,کردستان
78,IR.KE,8,پسر,روستا,11100,10220,880,1390,8,08,کرمان
79,IR.KJ,8,پسر,روستا,2794,2663,131,1390,29,29,خراسان جنوبی
80,IR.KS,8,پسر,روستا,3726,3587,139,1390,28,28,خراسان شمالی
81,IR.KV,8,پسر,روستا,15134,14385,749,1390,9,09,خراسان رضوی
82,IR.KZ,8,پسر,روستا,12812,11940,872,1390,6,06,خوزستان
83,IR.LO,8,پسر,روستا,5625,5337,288,1390,15,15,لرستان
84,IR.MK,8,پسر,روستا,2516,2319,197,1390,0,00,مرکزی
85,IR.MN,8,پسر,روستا,9156,8767,389,1390,2,02,مازندران
86,IR.QM,8,پسر,روستا,366,336,30,1390,25,25,قم
87,IR.QZ,8,پسر,روستا,2367,2231,136,1390,26,26,قزوین
88,IR.SB,8,پسر,روستا,15866,13383,2483,1390,11,11,سیستان و بلوچستان
89,IR.SM,8,پسر,روستا,1020,958,62,1390,20,20,سمنان
90,IR.TH,8,پسر,روستا,7220,6700,520,1390,23,23,تهران
91,IR.WA,8,پسر,روستا,9945,9456,489,1390,4,04,آذربایجان غربی
92,IR.YA,8,پسر,روستا,1370,1248,122,1390,21,21,یزد
93,IR.ZA,8,پسر,روستا,2947,2790,157,1390,19,19,زنجان
94,IR.AL,9,پسر,روستا,1729,1579,150,1390,30,30,البرز
95,IR.AR,9,پسر,روستا,3289,3169,120,1390,24,24,اردبیل
96,IR.BK,9,پسر,روستا,4144,3991,153,1390,5,05,کرمانشاه
97,IR.BS,9,پسر,روستا,2500,2403,97,1390,18,18,بوشهر
98,IR.CM,9,پسر,روستا,3031,2892,139,1390,14,14,چهارمحال و بختیاری
99,IR.EA,9,پسر,روستا,9325,8895,430,1390,3,03,آذربایجان شرقی
100,IR.ES,9,پسر,روستا,4832,4511,321,1390,10,10,اصفهان
101,IR.FA,9,پسر,روستا,11139,10627,512,1390,7,07,فارس
102,IR.GI,9,پسر,روستا,5972,5752,220,1390,1,01,گیلان
103,IR.GO,9,پسر,روستا,6863,6590,273,1390,27,27,گلستان
104,IR.HD,9,پسر,روستا,5187,4956,231,1390,13,13,همدان
105,IR.HG,9,پسر,روستا,7543,7102,441,1390,22,22,هرمزگان
106,IR.IL,9,پسر,روستا,1359,1263,96,1390,16,16,ایلام
107,IR.KB,9,پسر,روستا,2653,2563,90,1390,17,17,کهگیلویه و بویراحمد
108,IR.KD,9,پسر,روستا,3854,3725,129,1390,12,12,کردستان
109,IR.KE,9,پسر,روستا,11089,10156,933,1390,8,08,کرمان
110,IR.KJ,9,پسر,روستا,2860,2736,124,1390,29,29,خراسان جنوبی
111,IR.KS,9,پسر,روستا,3619,3502,117,1390,28,28,خراسان شمالی
112,IR.KV,9,پسر,روستا,15056,14288,768,1390,9,09,خراسان رضوی
113,IR.KZ,9,پسر,روستا,12580,11701,879,1390,6,06,خوزستان
114,IR.LO,9,پسر,روستا,5273,4959,314,1390,15,15,لرستان
115,IR.MK,9,پسر,روستا,2291,2123,168,1390,0,00,مرکزی
116,IR.MN,9,پسر,روستا,9149,8815,334,1390,2,02,مازندران
117,IR.QM,9,پسر,روستا,452,426,26,1390,25,25,قم
118,IR.QZ,9,پسر,روستا,2436,2315,121,1390,26,26,قزوین
119,IR.SB,9,پسر,روستا,15828,13606,2222,1390,11,11,سیستان و بلوچستان
120,IR.SM,9,پسر,روستا,1020,961,59,1390,20,20,سمنان
121,IR.TH,9,پسر,روستا,6861,6453,408,1390,23,23,تهران
122,IR.WA,9,پسر,روستا,10060,9532,528,1390,4,04,آذربایجان غربی
123,IR.YA,9,پسر,روستا,1459,1360,99,1390,21,21,یزد
124,IR.ZA,9,پسر,روستا,3001,2845,156,1390,19,19,زنجان
125,IR.AL,10,پسر,روستا,1849,1678,171,1390,30,30,البرز
126,IR.AR,10,پسر,روستا,3389,3268,121,1390,24,24,اردبیل
127,IR.BK,10,پسر,روستا,4235,4042,193,1390,5,05,کرمانشاه
128,IR.BS,10,پسر,روستا,2268,2188,80,1390,18,18,بوشهر
129,IR.CM,10,پسر,روستا,2975,2836,139,1390,14,14,چهارمحال و بختیاری
130,IR.EA,10,پسر,روستا,9093,8677,416,1390,3,03,آذربایجان شرقی
131,IR.ES,10,پسر,روستا,5000,4714,286,1390,10,10,اصفهان
132,IR.FA,10,پسر,روستا,11122,10675,447,1390,7,07,فارس
133,IR.GI,10,پسر,روستا,6792,6525,267,1390,1,01,گیلان
134,IR.GO,10,پسر,روستا,6587,6298,289,1390,27,27,گلستان
135,IR.HD,10,پسر,روستا,5208,5004,204,1390,13,13,همدان
136,IR.HG,10,پسر,روستا,7442,7033,409,1390,22,22,هرمزگان
137,IR.IL,10,پسر,روستا,1393,1293,100,1390,16,16,ایلام
138,IR.KB,10,پسر,روستا,2485,2390,95,1390,17,17,کهگیلویه و بویراحمد
139,IR.KD,10,پسر,روستا,3879,3749,130,1390,12,12,کردستان
140,IR.KE,10,پسر,روستا,10837,9944,893,1390,8,08,کرمان
141,IR.KJ,10,پسر,روستا,2649,2538,111,1390,29,29,خراسان جنوبی
142,IR.KS,10,پسر,روستا,3539,3405,134,1390,28,28,خراسان شمالی
143,IR.KV,10,پسر,روستا,14419,13771,648,1390,9,09,خراسان رضوی
144,IR.KZ,10,پسر,روستا,12357,11621,736,1390,6,06,خوزستان
145,IR.LO,10,پسر,روستا,5311,5025,286,1390,15,15,لرستان
146,IR.MK,10,پسر,روستا,2384,2217,167,1390,0,00,مرکزی
147,IR.MN,10,پسر,روستا,9507,9172,335,1390,2,02,مازندران
148,IR.QM,10,پسر,روستا,450,411,39,1390,25,25,قم
149,IR.QZ,10,پسر,روستا,2306,2175,131,1390,26,26,قزوین
150,IR.SB,10,پسر,روستا,13938,11744,2194,1390,11,11,سیستان و بلوچستان
151,IR.SM,10,پسر,روستا,1033,966,67,1390,20,20,سمنان
152,IR.TH,10,پسر,روستا,7319,6855,464,1390,23,23,تهران
153,IR.WA,10,پسر,روستا,9766,9261,505,1390,4,04,آذربایجان غربی
154,IR.YA,10,پسر,روستا,1366,1252,114,1390,21,21,یزد
155,IR.ZA,10,پسر,روستا,2863,2748,115,1390,19,19,زنجان
156,IR.AL,11,پسر,روستا,1695,1559,136,1390,30,30,البرز
157,IR.AR,11,پسر,روستا,3347,3160,187,1390,24,24,اردبیل
158,IR.BK,11,پسر,روستا,4210,3989,221,1390,5,05,کرمانشاه
159,IR.BS,11,پسر,روستا,2179,2096,83,1390,18,18,بوشهر
160,IR.CM,11,پسر,روستا,2893,2742,151,1390,14,14,چهارمحال و بختیاری
161,IR.EA,11,پسر,روستا,8776,8231,545,1390,3,03,آذربایجان شرقی
162,IR.ES,11,پسر,روستا,4974,4670,304,1390,10,10,اصفهان
163,IR.FA,11,پسر,روستا,10932,10497,435,1390,7,07,فارس
164,IR.GI,11,پسر,روستا,7036,6706,330,1390,1,01,گیلان
165,IR.GO,11,پسر,روستا,7042,6673,369,1390,27,27,گلستان
166,IR.HD,11,پسر,روستا,5230,5020,210,1390,13,13,همدان
167,IR.HG,11,پسر,روستا,7577,7079,498,1390,22,22,هرمزگان
168,IR.IL,11,پسر,روستا,1436,1316,120,1390,16,16,ایلام
169,IR.KB,11,پسر,روستا,2289,2190,99,1390,17,17,کهگیلویه و بویراحمد
170,IR.KD,11,پسر,روستا,3769,3549,220,1390,12,12,کردستان
171,IR.KE,11,پسر,روستا,10819,9920,899,1390,8,08,کرمان
172,IR.KJ,11,پسر,روستا,2586,2466,120,1390,29,29,خراسان جنوبی
173,IR.KS,11,پسر,روستا,3745,3555,190,1390,28,28,خراسان شمالی
174,IR.KV,11,پسر,روستا,14662,13812,850,1390,9,09,خراسان رضوی
175,IR.KZ,11,پسر,روستا,11926,11025,901,1390,6,06,خوزستان
176,IR.LO,11,پسر,روستا,5267,4908,359,1390,15,15,لرستان
177,IR.MK,11,پسر,روستا,2383,2200,183,1390,0,00,مرکزی
178,IR.MN,11,پسر,روستا,9673,9347,326,1390,2,02,مازندران
179,IR.QM,11,پسر,روستا,381,352,29,1390,25,25,قم
180,IR.QZ,11,پسر,روستا,2364,2221,143,1390,26,26,قزوین
181,IR.SB,11,پسر,روستا,14417,11993,2424,1390,11,11,سیستان و بلوچستان
182,IR.SM,11,پسر,روستا,1024,968,56,1390,20,20,سمنان
183,IR.TH,11,پسر,روستا,7010,6574,436,1390,23,23,تهران
184,IR.WA,11,پسر,روستا,9629,8944,685,1390,4,04,آذربایجان غربی
185,IR.YA,11,پسر,روستا,1282,1187,95,1390,21,21,یزد
186,IR.ZA,11,پسر,روستا,2745,2570,175,1390,19,19,زنجان
187,IR.AL,12,پسر,روستا,1853,1654,199,1390,30,30,البرز
188,IR.AR,12,پسر,روستا,3645,3419,226,1390,24,24,اردبیل
189,IR.BK,12,پسر,روستا,4474,4155,319,1390,5,05,کرمانشاه
190,IR.BS,12,پسر,روستا,2331,2228,103,1390,18,18,بوشهر
191,IR.CM,12,پسر,روستا,3036,2824,212,1390,14,14,چهارمحال و بختیاری
192,IR.EA,12,پسر,روستا,8891,8157,734,1390,3,03,آذربایجان شرقی
193,IR.ES,12,پسر,روستا,5006,4682,324,1390,10,10,اصفهان
194,IR.FA,12,پسر,روستا,11083,10544,539,1390,7,07,فارس
195,IR.GI,12,پسر,روستا,6919,6539,380,1390,1,01,گیلان
196,IR.GO,12,پسر,روستا,7119,6553,566,1390,27,27,گلستان
197,IR.HD,12,پسر,روستا,5601,5297,304,1390,13,13,همدان
198,IR.HG,12,پسر,روستا,8078,7388,690,1390,22,22,هرمزگان
199,IR.IL,12,پسر,روستا,1490,1373,117,1390,16,16,ایلام
200,IR.KB,12,پسر,روستا,2567,2444,123,1390,17,17,کهگیلویه و بویراحمد
201,IR.KD,12,پسر,روستا,3898,3596,302,1390,12,12,کردستان
202,IR.KE,12,پسر,روستا,11520,10343,1177,1390,8,08,کرمان
203,IR.KJ,12,پسر,روستا,2746,2517,229,1390,29,29,خراسان جنوبی
204,IR.KS,12,پسر,روستا,4031,3732,299,1390,28,28,خراسان شمالی
205,IR.KV,12,پسر,روستا,15210,13876,1334,1390,9,09,خراسان رضوی
206,IR.KZ,12,پسر,روستا,12805,11532,1273,1390,6,06,خوزستان
207,IR.LO,12,پسر,روستا,5626,5074,552,1390,15,15,لرستان
208,IR.MK,12,پسر,روستا,2440,2212,228,1390,0,00,مرکزی
209,IR.MN,12,پسر,روستا,9515,9134,381,1390,2,02,مازندران
210,IR.QM,12,پسر,روستا,412,377,35,1390,25,25,قم
211,IR.QZ,12,پسر,روستا,2324,2168,156,1390,26,26,قزوین
212,IR.SB,12,پسر,روستا,15325,11918,3407,1390,11,11,سیستان و بلوچستان
213,IR.SM,12,پسر,روستا,1048,959,89,1390,20,20,سمنان
214,IR.TH,12,پسر,روستا,7544,6919,625,1390,23,23,تهران
215,IR.WA,12,پسر,روستا,9721,8707,1014,1390,4,04,آذربایجان غربی
216,IR.YA,12,پسر,روستا,1382,1283,99,1390,21,21,یزد
217,IR.ZA,12,پسر,روستا,2900,2686,214,1390,19,19,زنجان
218,IR.AL,13,پسر,روستا,1893,1655,238,1390,30,30,البرز
219,IR.AR,13,پسر,روستا,3879,3460,419,1390,24,24,اردبیل
220,IR.BK,13,پسر,روستا,4509,4110,399,1390,5,05,کرمانشاه
221,IR.BS,13,پسر,روستا,2168,2061,107,1390,18,18,بوشهر
222,IR.CM,13,پسر,روستا,3275,2997,278,1390,14,14,چهارمحال و بختیاری
223,IR.EA,13,پسر,روستا,8819,7890,929,1390,3,03,آذربایجان شرقی
224,IR.ES,13,پسر,روستا,5020,4633,387,1390,10,10,اصفهان
225,IR.FA,13,پسر,روستا,10774,10049,725,1390,7,07,فارس
226,IR.GI,13,پسر,روستا,7270,6709,561,1390,1,01,گیلان
227,IR.GO,13,پسر,روستا,7056,6157,899,1390,27,27,گلستان
228,IR.HD,13,پسر,روستا,5489,5009,480,1390,13,13,همدان
229,IR.HG,13,پسر,روستا,8465,7641,824,1390,22,22,هرمزگان
230,IR.IL,13,پسر,روستا,1514,1333,181,1390,16,16,ایلام
231,IR.KB,13,پسر,روستا,2686,2524,162,1390,17,17,کهگیلویه و بویراحمد
232,IR.KD,13,پسر,روستا,4309,3836,473,1390,12,12,کردستان
233,IR.KE,13,پسر,روستا,11773,10349,1424,1390,8,08,کرمان
234,IR.KJ,13,پسر,روستا,2605,2321,284,1390,29,29,خراسان جنوبی
